Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Outcome Date,Outcome Type,days_stayed
WHITE,BLACK,Female,3/1/15,8,3/1/17,NORMAL,STRAY,OTC,3/12/17,ADOPTION,11
TAN,WHITE,Female,3/1/15,8,3/1/17,NORMAL,STRAY,OTC,3/12/17,ADOPTION,11
GRAY TABBY,WHITE,Spayed,3/8/14,9,3/8/17,NORMAL,STRAY,OTC,4/14/17,ADOPTION,37
SEAL PT,,Female,9/9/16,7,3/8/17,NORMAL,STRAY,OTC,3/19/17,ADOPTION,11
WHITE,,Neutered,1/22/15,8,3/2/17,NORMAL,OWNER SURRENDER,OTC,4/23/17,ADOPTION,52
TAN,BROWN,Spayed,3/2/16,7,3/2/17,NORMAL,STRAY,OTC,3/29/17,ADOPTION,27
BLUE,WHITE,Neutered,3/26/11,12,3/15/17,NORMAL,STRAY,FIELD,3/26/17,ADOPTION,11
BLACK,WHITE,Spayed,7/10/16,7,3/10/17,NORMAL,STRAY,OTC,3/29/17,ADOPTION,19
GRAY,WHITE,Spayed,3/9/14,9,3/11/17,NORMAL,OWNER SURRENDER,FIELD,7/26/17,ADOPTION,137
WHITE,,Neutered,3/21/15,8,3/21/17,INJURED  MILD,STRAY,FIELD,3/31/17,ADOPTION,10
BROWN,WHITE,Spayed,1/29/12,11,3/28/17,NORMAL,OWNER SURRENDER,OTC,6/11/17,ADOPTION,75
WHITE,BLACK,Spayed,3/29/16,7,3/29/17,NORMAL,STRAY,FIELD,4/13/17,ADOPTION,15
TAN,,Female,3/29/13,10,3/29/17,NORMAL,OWNER SURRENDER,OTC,4/3/17,ADOPTION,5
CALICO,,Spayed,4/18/16,7,2/18/17,NORMAL,STRAY,OTC,2/25/17,ADOPTION,7
BRN TABBY,CALICO,Spayed,11/19/16,6,2/19/17,NORMAL,STRAY,OTC,3/1/17,ADOPTION,10
ORG TABBY,,Neutered,4/1/07,16,3/31/17,NORMAL,OWNER SURRENDER,OTC,5/28/17,ADOPTION,58
GRAY TABBY,WHITE,Male,4/1/07,16,3/31/17,NORMAL,OWNER SURRENDER,OTC,11/9/17,ADOPTION,223
TAN,,Male,4/5/05,18,4/3/17,NORMAL,STRAY,FIELD,5/26/17,ADOPTION,53
BLACK,WHITE,Neutered,4/3/10,13,4/3/17,NORMAL,STRAY,OTC,4/29/17,ADOPTION,26
BRN TABBY,,Female,4/4/15,8,4/4/17,INJURED  SEVERE,STRAY,FIELD,4/12/17,ADOPTION,8
BLACK,BROWN,Male,10/8/16,7,4/8/17,NORMAL,SAFE KEEP,,5/23/17,ADOPTION,45
GRAY,,Female,4/9/15,8,4/9/17,NORMAL,STRAY,OTC,4/23/17,ADOPTION,14
CALICO,WHITE,Female,2/12/17,6,4/12/17,NORMAL,STRAY,OTC,4/24/17,ADOPTION,12
BLACK,WHITE,Neutered,4/13/13,10,4/13/17,ILL MILD,STRAY,OTC,8/18/17,ADOPTION,127
WHITE,TAN,Neutered,6/20/16,7,4/17/17,INJURED  MODERATE,STRAY,FIELD,4/27/17,ADOPTION,10
WHITE,TAN,Neutered,4/25/05,18,4/25/17,NORMAL,STRAY,FIELD,5/17/17,ADOPTION,22
BRN TABBY,,Female,4/26/17,6,4/26/17,UNDER AGE/WEIGHT,STRAY,AT SHELTER,6/15/17,ADOPTION,50
ORANGE,,Neutered,10/27/12,11,4/27/17,NORMAL,OWNER SURRENDER,OTC,5/31/17,ADOPTION,34
BLACK,WHITE,Neutered,12/4/16,6,5/4/17,NORMAL,STRAY,OTC,7/16/17,ADOPTION,73
BROWN,,Spayed,5/7/08,15,5/5/17,NORMAL,OWNER SURRENDER,FIELD,5/19/17,ADOPTION,14
TAN,WHITE,Neutered,5/6/14,9,5/6/17,NORMAL,OWNER SURRENDER,OTC,9/2/17,ADOPTION,119
GRAY,,Female,5/7/16,7,5/7/17,ILL MODERATETE,STRAY,FIELD,6/18/17,ADOPTION,42
ORG TABBY,,Female,5/6/12,11,5/6/17,NORMAL,OWNER SURRENDER,OTC,6/4/17,ADOPTION,29
BLACK,BROWN,Neutered,5/7/07,16,5/7/17,NORMAL,STRAY,OTC,7/19/17,ADOPTION,73
WHITE,TAN,Spayed,5/7/09,14,5/7/17,NORMAL,STRAY,OTC,6/17/17,ADOPTION,41
GRAY,WHITE,Neutered,4/21/14,9,5/12/17,NORMAL,OWNER SURRENDER,OTC,6/3/17,ADOPTION,22
BRN TABBY,,Spayed,5/13/11,12,5/13/17,NORMAL,STRAY,OTC,9/12/17,ADOPTION,122
WHITE,BROWN,Female,2/17/17,6,5/17/17,NORMAL,STRAY,OTC,5/31/17,ADOPTION,14
BRN TABBY,WHITE,Female,3/18/17,6,5/18/17,NORMAL,STRAY,OTC,5/26/17,ADOPTION,8
BLACK,GRAY TABBY,Male,3/18/17,6,5/18/17,NORMAL,STRAY,OTC,6/6/17,ADOPTION,19
GRAY TABBY,WHITE,Male,3/23/17,6,5/23/17,FERAL,STRAY,FIELD,6/5/17,ADOPTION,13
WHITE,BLACK,Spayed,2/23/15,8,2/23/17,NORMAL,OWNER SURRENDER,OTC,4/14/17,ADOPTION,50
TAN,WHITE,Female,5/25/16,7,5/25/17,INJURED  MILD,STRAY,FIELD,6/16/17,ADOPTION,22
WHITE,BROWN,Neutered,5/26/16,7,5/26/17,NORMAL,STRAY,FIELD,6/24/17,ADOPTION,29
TAN,WHITE,Neutered,2/24/15,8,2/24/17,NORMAL,STRAY,OTC,8/18/17,ADOPTION,175
BRN TABBY,,Female,8/24/16,7,2/24/17,NORMAL,STRAY,OTC,3/12/17,ADOPTION,16
CREAM,WHITE,Neutered,5/27/12,11,5/27/17,NORMAL,STRAY,FIELD,6/14/17,ADOPTION,18
WHITE,BROWN,Spayed,5/27/12,11,5/27/17,NORMAL,STRAY,FIELD,6/17/17,ADOPTION,21
WHITE,BLACK,Neutered,5/28/15,8,5/28/17,NORMAL,STRAY,OTC,6/10/17,ADOPTION,13
CREAM,,Neutered,6/2/11,12,6/2/17,NORMAL,STRAY,OTC,6/14/17,ADOPTION,12
BLACK,TAN,Spayed,3/15/13,10,5/31/17,NORMAL,STRAY,FIELD,6/18/17,ADOPTION,18
BLACK,WHITE,Male,5/31/15,8,5/31/17,NORMAL,OWNER SURRENDER,OTC,6/10/17,ADOPTION,10
BRN TABBY,,Neutered,3/31/17,6,5/31/17,FERAL,STRAY,OTC,6/10/17,ADOPTION,10
BROWN,,Spayed,5/31/15,8,5/31/17,NORMAL,STRAY,OTC,6/18/17,ADOPTION,18
YELLOW,,Neutered,6/1/11,12,6/1/17,NORMAL,OWNER SURRENDER,OTC,6/17/17,ADOPTION,16
TAN,WHITE,Female,6/2/15,8,6/2/17,NORMAL,STRAY,OTC,6/11/17,ADOPTION,9
BLACK,,Female,6/6/12,11,6/6/17,ILL MODERATETE,STRAY,FIELD,7/12/17,ADOPTION,36
ORG TABBY,WHITE,Neutered,6/7/11,12,6/7/17,NORMAL,STRAY,OTC,7/13/17,ADOPTION,36
TAN,WHITE,Female,6/4/16,7,6/4/17,NORMAL,STRAY,OTC,7/9/17,ADOPTION,35
TAN,WHITE,Spayed,6/8/07,16,6/8/17,ILL MODERATETE,STRAY,FIELD,7/21/17,ADOPTION,43
TAN,WHITE,Spayed,6/12/10,13,6/12/17,INJURED  MILD,STRAY,OTC,8/22/17,ADOPTION,71
BLACK,,Neutered,4/12/17,6,6/12/17,NORMAL,STRAY,OTC,8/26/17,ADOPTION,75
BLACK,,Neutered,4/12/17,6,6/12/17,NORMAL,STRAY,OTC,8/26/17,ADOPTION,75
GRAY,WHITE,Female,4/16/17,6,6/16/17,NORMAL,STRAY,OTC,7/2/17,ADOPTION,16
BRN TABBY,WHITE,Female,4/16/17,6,6/16/17,NORMAL,STRAY,OTC,7/9/17,ADOPTION,23
GOLD,,Female,6/16/16,7,6/16/17,NORMAL,STRAY,FIELD,6/28/17,ADOPTION,12
BRN TABBY,WHITE,Male,4/18/17,6,6/18/17,NORMAL,STRAY,OTC,7/2/17,ADOPTION,14
GRAY TABBY,,Male,4/10/17,6,6/25/17,NORMAL,STRAY,OTC,7/18/17,ADOPTION,23
WHITE,,Neutered,6/26/11,12,6/26/17,ILL MILD,STRAY,FIELD,7/23/17,ADOPTION,27
BR BRINDLE,,Neutered,6/22/15,8,6/22/17,NORMAL,OWNER SURRENDER,OTC,6/23/17,ADOPTION,1
TAN,WHITE,Spayed,6/28/14,9,6/28/17,NORMAL,STRAY,OTC,12/8/17,ADOPTION,163
TORTIE DIL,,Spayed,6/28/15,8,6/28/17,NORMAL,STRAY,OTC,7/9/17,ADOPTION,11
ORANGE,GOLD,Female,1/23/17,6,6/23/17,NORMAL,OWNER SURRENDER,OTC,6/29/17,ADOPTION,6
ORG TABBY,,Neutered,6/24/11,12,6/24/17,ILL MILD,STRAY,OTC,5/10/19,ADOPTION,685
CALICO,,Spayed,6/29/15,8,6/29/17,NORMAL,STRAY,OTC,11/14/17,ADOPTION,138
GRAY,,Male,4/30/17,6,6/30/17,NORMAL,STRAY,OTC,7/17/17,ADOPTION,17
BLACK,,Male,4/30/17,6,6/30/17,NORMAL,STRAY,OTC,7/27/17,ADOPTION,27
FAWN,WHITE,Male,6/25/14,9,6/25/17,NORMAL,STRAY,FIELD,8/27/17,ADOPTION,63
BRN TABBY,,Spayed,4/30/17,6,6/30/17,FERAL,STRAY,OTC,8/11/17,ADOPTION,42
GRAY,,Neutered,6/30/16,7,6/30/17,INJURED  MILD,STRAY,FIELD,7/7/17,ADOPTION,7
BLACK,WHITE,Spayed,7/2/16,7,7/2/17,NORMAL,STRAY,OTC,8/2/17,ADOPTION,31
GRAY,WHITE,Neutered,4/15/17,6,6/30/17,FERAL,STRAY,OTC,8/11/17,ADOPTION,42
BROWN,BLACK,Male,2/6/12,11,7/6/17,NORMAL,OWNER SURRENDER,OTC,8/11/17,ADOPTION,36
BLACK,WHITE,Male,7/4/15,8,7/4/17,NORMAL,STRAY,FIELD,9/16/17,ADOPTION,74
BR BRINDLE,BLACK,Male,7/4/15,8,7/4/17,NORMAL,STRAY,FIELD,7/28/17,ADOPTION,24
ORG TABBY,,Neutered,4/5/17,6,7/5/17,NORMAL,STRAY,OTC,7/23/17,ADOPTION,18
RED,,Spayed,3/22/11,12,7/6/17,BEHAVIOR  MODERATE,OWNER SURRENDER,FIELD,7/16/17,ADOPTION,10
BLACK,,Male,7/6/10,13,7/6/17,NORMAL,STRAY,OTC,7/27/17,ADOPTION,21
BRN TABBY,WHITE,Neutered,4/11/17,6,7/11/17,NORMAL,STRAY,OTC,9/13/17,ADOPTION,64
WHITE,TAN,Male,7/13/16,7,7/13/17,NORMAL,STRAY,OTC,8/17/17,ADOPTION,35
BRN TABBY,,Neutered,7/13/15,8,7/13/17,NORMAL,STRAY,FIELD,5/10/19,ADOPTION,666
BLACK,WHITE,Spayed,10/15/16,7,7/14/17,NORMAL,STRAY,OTC,8/11/17,ADOPTION,28
GRAY TABBY,,Neutered,1/14/17,6,7/14/17,NORMAL,STRAY,OTC,1/12/18,ADOPTION,182
BLACK,BROWN,Neutered,7/3/10,13,7/14/17,NORMAL,OWNER SURRENDER,OTC,8/19/17,ADOPTION,36
GRAY,WHITE,Neutered,5/19/14,9,5/19/17,NORMAL,STRAY,OTC,5/31/17,ADOPTION,12
BLACK,,Male,6/8/14,9,5/20/17,NORMAL,STRAY,OTC,7/14/17,ADOPTION,55
BLACK,,Spayed,5/16/17,6,7/16/17,NORMAL,STRAY,OTC,8/25/17,ADOPTION,40
GRAY TABBY,WHITE,Spayed,7/18/14,9,7/18/17,NORMAL,STRAY,OTC,6/20/18,ADOPTION,337
BROWN,,Spayed,7/19/04,19,7/19/17,NORMAL,OWNER SURRENDER,OTC,5/10/19,ADOPTION,660
TAN,,Neutered,7/19/05,18,7/19/17,NORMAL,OWNER SURRENDER,OTC,8/27/17,ADOPTION,39
CALICO,,Spayed,10/12/17,6,7/23/17,NORMAL,STRAY,OTC,8/11/17,ADOPTION,19
CALICO,,Female,4/23/17,6,7/23/17,NORMAL,STRAY,OTC,8/17/17,ADOPTION,25
BLACK,,Female,4/7/17,6,7/7/17,NORMAL,STRAY,OTC,7/20/17,ADOPTION,13
GRAY,,Male,3/24/17,6,7/24/17,ILL MILD,STRAY,FIELD,8/7/17,ADOPTION,14
BROWN,,Female,9/25/16,7,7/25/17,NORMAL,STRAY,FIELD,8/11/17,ADOPTION,17
GRAY,WHITE,Spayed,7/26/14,9,7/26/17,ILL MILD,STRAY,FIELD,11/9/17,ADOPTION,106
GRAY TABBY,,Spayed,3/26/17,6,7/26/17,NORMAL,STRAY,OTC,8/19/17,ADOPTION,24
SEAL PT,,Neutered,6/27/17,6,7/27/17,FERAL,STRAY,OTC,9/20/17,ADOPTION,55
GRAY,BLACK,Neutered,2/9/08,15,7/9/17,NORMAL,OWNER SURRENDER,OTC,8/2/17,ADOPTION,24
GRAY,WHITE,Spayed,7/27/14,9,7/27/17,NORMAL,STRAY,OTC,8/11/17,ADOPTION,15
BROWN,WHITE,Spayed,7/27/15,8,7/27/17,INJURED  SEVERE,STRAY,FIELD,8/26/17,ADOPTION,30
BLACK,,Spayed,7/28/14,9,7/28/17,NORMAL,STRAY,OTC,11/30/17,ADOPTION,125
BRN TABBY,,Spayed,7/29/14,9,7/29/17,NORMAL,STRAY,OTC,8/11/17,ADOPTION,13
ORG TABBY,,Neutered,7/29/07,16,7/29/17,NORMAL,STRAY,OTC,8/6/17,ADOPTION,8
BLACK,BROWN,Male,8/1/12,11,8/1/17,ILL SEVERE,STRAY,FIELD,8/25/17,ADOPTION,24
CALICO TAB,,Spayed,5/29/17,6,7/29/17,NORMAL,STRAY,OTC,8/11/17,ADOPTION,13
BLACK,WHITE,Male,7/22/17,6,7/30/17,UNDER AGE/WEIGHT,STRAY,OTC,6/9/18,ADOPTION,314
GRAY,WHITE,Male,7/30/16,7,7/30/17,NORMAL,STRAY,FIELD,8/25/17,ADOPTION,26
WHITE,BROWN,Female,2/3/17,6,8/3/17,NORMAL,STRAY,FIELD,8/6/17,ADOPTION,3
BLACK,,Spayed,8/3/16,7,8/3/17,NORMAL,STRAY,OTC,10/14/17,ADOPTION,72
TAN,WHITE,Female,8/3/15,8,8/3/17,NORMAL,STRAY,OTC,8/11/17,ADOPTION,8
WHITE,BLACK,Neutered,9/15/11,12,8/3/17,NORMAL,STRAY,FIELD,5/8/18,ADOPTION,278
TAN,,Neutered,4/9/17,6,8/9/17,INJURED  MODERATE,STRAY,FIELD,8/19/17,ADOPTION,10
BLACK,WHITE,Female,8/9/15,8,8/9/17,NORMAL,OWNER SURRENDER,OTC,10/4/17,ADOPTION,56
BLACK,,Neutered,8/9/05,18,8/9/17,NORMAL,OWNER SURRENDER,OTC,11/12/17,ADOPTION,95
BLACK,WHITE,Male,8/9/11,12,8/9/17,NORMAL,OWNER SURRENDER,OTC,8/20/17,ADOPTION,11
BLACK,,Spayed,6/6/17,6,8/6/17,NORMAL,STRAY,FIELD,8/11/17,ADOPTION,5
WHITE,BROWN,Spayed,8/6/16,7,8/6/17,NORMAL,STRAY,OTC,9/28/17,ADOPTION,53
FAWN,,Female,8/13/09,14,8/11/17,NORMAL,OWNER SURRENDER,OTC,8/20/17,ADOPTION,9
GRAY,,Female,3/11/17,6,8/11/17,NORMAL,STRAY,OTC,9/21/17,ADOPTION,41
FAWN,WHITE,Spayed,12/11/16,6,8/11/17,ILL SEVERE,STRAY,OTC,8/19/17,ADOPTION,8
BRN TABBY,,Male,5/12/17,6,8/12/17,NORMAL,STRAY,OTC,9/13/17,ADOPTION,32
BLACK,WHITE,Male,5/12/17,6,8/12/17,NORMAL,STRAY,OTC,9/13/17,ADOPTION,32
BLACK,WHITE,Neutered,8/6/15,8,8/6/17,NORMAL,STRAY,OTC,10/31/17,ADOPTION,86
BRN TABBY,WHITE,Female,5/18/17,6,8/18/17,NORMAL,STRAY,OTC,8/25/17,ADOPTION,7
WHITE,,Spayed,8/18/14,9,8/18/17,NORMAL,STRAY,OTC,10/14/17,ADOPTION,57
BROWN,WHITE,Spayed,8/17/16,7,8/17/17,NORMAL,STRAY,FIELD,9/24/17,ADOPTION,38
WHITE,BRN TABBY,Spayed,8/19/06,17,8/30/17,ILL MILD,STRAY,FIELD,9/23/17,ADOPTION,24
GRAY TABBY,WHITE,Neutered,3/30/17,6,8/30/17,INJURED  MILD,STRAY,FIELD,12/24/17,ADOPTION,116
ORG TABBY,WHITE,Male,4/12/17,6,9/2/17,NORMAL,OWNER SURRENDER,OTC,10/6/17,ADOPTION,34
GRAY,,Neutered,8/23/04,19,8/23/17,NORMAL,OWNER SURRENDER,OTC,9/9/17,ADOPTION,17
BLACK,,Neutered,8/25/10,13,8/25/17,NORMAL,OWNER SURRENDER,OTC,9/13/17,ADOPTION,19
BROWN,WHITE,Male,2/25/14,9,8/25/17,NORMAL,OWNER SURRENDER,FIELD,9/22/17,ADOPTION,28
BLACK,WHITE,Spayed,3/26/16,7,8/26/17,NORMAL,OWNER SURRENDER,OTC,9/7/17,ADOPTION,12
BLK SMOKE,,Female,12/3/08,14,8/27/17,NORMAL,STRAY,OTC,9/20/17,ADOPTION,24
WHITE,BLACK,Male,8/27/16,7,8/27/17,NORMAL,OWNER SURRENDER,OTC,9/22/17,ADOPTION,26
BRN TABBY,,Male,8/3/17,6,9/3/17,UNDER AGE/WEIGHT,STRAY,OTC,10/1/17,ADOPTION,28
TORTIE DIL,WHITE,Spayed,9/6/12,11,9/6/17,NORMAL,CONFISCATE,POLICE,1/12/18,ADOPTION,128
BLACK,WHITE,Spayed,6/3/16,7,9/7/17,NORMAL,OWNER SURRENDER,OTC,9/17/17,ADOPTION,10
WHITE,,Female,1/11/17,6,9/11/17,INJURED  MODERATE,STRAY,FIELD,9/20/17,ADOPTION,9
ORG TABBY,,Male,7/13/17,6,9/13/17,BEHAVIOR  MILD,STRAY,OTC,10/4/17,ADOPTION,21
BLACK,,Spayed,7/1/17,6,8/19/17,NORMAL,STRAY,FIELD,8/27/17,ADOPTION,8
BROWN,,Neutered,5/20/17,6,9/14/17,NORMAL,STRAY,OTC,9/20/17,ADOPTION,6
TRICOLOR,,Female,9/15/06,17,9/15/17,NORMAL,STRAY,FIELD,10/8/17,ADOPTION,23
BRN TABBY,WHITE,Spayed,8/15/17,6,9/15/17,UNDER AGE/WEIGHT,STRAY,OTC,11/22/17,ADOPTION,68
TORTIE,,Spayed,3/19/17,6,9/15/17,FERAL,STRAY,OTC,1/12/18,ADOPTION,119
WHITE,BLACK,Spayed,9/16/14,9,9/16/17,ILL MODERATETE,STRAY,FIELD,10/14/17,ADOPTION,28
WHITE,BROWN,Male,8/1/17,6,9/16/17,UNDER AGE/WEIGHT,STRAY,OTC,10/5/17,ADOPTION,19
BRN TABBY,,Male,3/16/17,6,9/16/17,NORMAL,STRAY,OTC,9/23/17,ADOPTION,7
BLACK,GRAY,Neutered,9/16/16,7,9/16/17,NORMAL,STRAY,OTC,9/28/17,ADOPTION,12
GRAY,WHITE,Neutered,9/19/13,10,9/19/17,NORMAL,STRAY,OTC,11/18/17,ADOPTION,60
WHITE,BROWN,Unknown,,,9/20/17,NORMAL,STRAY,OTC,9/30/17,ADOPTION,10
GRAY,WHITE,Neutered,8/28/17,6,9/28/17,UNDER AGE/WEIGHT,STRAY,OTC,12/22/17,ADOPTION,85
BRN TABBY,WHITE,Neutered,9/30/16,7,9/30/17,NORMAL,STRAY,OTC,10/22/17,ADOPTION,22
BRN TABBY,WHITE,Spayed,7/1/17,6,10/1/17,FERAL,STRAY,OTC,10/26/17,ADOPTION,25
GRAY TABBY,,Neutered,10/1/14,9,10/1/17,INJURED  MILD,STRAY,OTC,1/12/18,ADOPTION,103
TORBI,,Female,9/8/13,10,9/8/17,NORMAL,OWNER SURRENDER,OTC,11/30/17,ADOPTION,83
ORG TABBY,,Neutered,5/3/17,6,9/21/17,FERAL,STRAY,OTC,1/12/18,ADOPTION,113
GRAY,WHITE,Female,6/22/17,6,9/22/17,NORMAL,STRAY,OTC,9/30/17,ADOPTION,8
BR BRINDLE,WHITE,Neutered,11/29/14,8,9/24/17,NORMAL,STRAY,FIELD,1/19/18,ADOPTION,117
GRAY TABBY,WHITE,Female,10/16/15,8,10/4/17,NORMAL,OWNER SURRENDER,OTC,2/7/18,ADOPTION,126
GRAY,WHITE,Spayed,10/16/15,8,10/4/17,NORMAL,OWNER SURRENDER,OTC,2/7/18,ADOPTION,126
ORG TABBY,,Male,8/5/17,6,10/5/17,NORMAL,STRAY,FIELD,11/19/17,ADOPTION,45
BLACK,,Spayed,8/20/14,9,8/20/17,NORMAL,STRAY,FIELD,10/6/17,ADOPTION,47
GRAY,WHITE,Neutered,7/1/17,6,10/1/17,NORMAL,STRAY,OTC,10/26/17,ADOPTION,25
BLACK,WHITE,Female,10/11/14,9,10/11/17,NORMAL,STRAY,OTC,1/28/18,ADOPTION,109
YELLOW,,Unknown,,,10/11/17,NORMAL,STRAY,FIELD,10/18/17,ADOPTION,7
TAN,,Neutered,10/14/15,8,10/14/17,NORMAL,STRAY,OTC,12/2/17,ADOPTION,49
BLACK,WHITE,Neutered,10/25/13,10,10/25/17,NORMAL,STRAY,OTC,11/7/17,ADOPTION,13
BLACK,WHITE,Neutered,10/26/14,9,10/26/17,NORMAL,STRAY,OTC,12/2/17,ADOPTION,37
WHITE,GRAY,Male,10/28/14,9,10/28/17,NORMAL,STRAY,OTC,11/6/17,ADOPTION,9
BROWN,WHITE,Female,11/4/10,12,11/4/17,NORMAL,STRAY,OTC,11/10/17,ADOPTION,6
WHITE,TAN,Female,11/7/14,8,11/7/17,NORMAL,STRAY,OTC,12/5/17,ADOPTION,28
ORG TABBY,WHITE,Neutered,7/8/17,6,10/8/17,NORMAL,STRAY,OTC,10/14/17,ADOPTION,6
ORG TABBY,WHITE,Neutered,7/8/17,6,10/8/17,NORMAL,STRAY,OTC,10/14/17,ADOPTION,6
CALICO,WHITE,Spayed,7/8/17,6,10/8/17,NORMAL,STRAY,OTC,10/14/17,ADOPTION,6
BLACK,WHITE,Spayed,6/15/12,11,11/1/17,NORMAL,STRAY,OTC,11/18/17,ADOPTION,17
ORG TABBY,WHITE,Male,9/4/17,6,11/2/17,NORMAL,STRAY,OTC,11/10/17,ADOPTION,8
TAN,WHITE,Neutered,8/8/15,8,11/3/17,NORMAL,STRAY,OTC,12/30/17,ADOPTION,57
BROWN,,Female,11/3/16,6,11/3/17,NORMAL,OWNER SURRENDER,OTC,11/24/17,ADOPTION,21
ORG TABBY,,Male,9/4/17,6,11/4/17,NORMAL,STRAY,OTC,12/5/17,ADOPTION,31
BROWN,TAN,Male,11/15/10,12,11/15/17,NORMAL,STRAY,OTC,2/6/18,ADOPTION,83
GRAY TABBY,,Neutered,10/3/17,6,11/8/17,UNDER AGE/WEIGHT,STRAY,OTC,12/13/17,ADOPTION,35
ORG TABBY,,Neutered,8/9/17,6,11/9/17,NORMAL,STRAY,OTC,11/30/17,ADOPTION,21
BRN TABBY,WHITE,Neutered,11/10/13,9,11/10/17,NORMAL,STRAY,FIELD,1/14/18,ADOPTION,65
BLACK,GRAY,Spayed,10/18/13,10,10/18/17,NORMAL,STRAY,OTC,11/19/17,ADOPTION,32
GRAY,WHITE,Neutered,4/3/16,7,10/20/17,NORMAL,STRAY,OTC,10/28/17,ADOPTION,8
GRAY TABBY,,Neutered,3/7/14,9,10/21/17,NORMAL,OWNER SURRENDER,FIELD,2/23/18,ADOPTION,125
BLACK,WHITE,Neutered,11/26/16,6,11/26/17,NORMAL,STRAY,OTC,12/15/17,ADOPTION,19
WHITE,,Spayed,10/21/16,7,10/21/17,NORMAL,STRAY,OTC,11/4/17,ADOPTION,14
GRAY,WHITE,Neutered,12/9/12,10,12/9/17,NORMAL,STRAY,OTC,12/27/17,ADOPTION,18
WHITE,,Neutered,4/30/17,6,11/30/17,NORMAL,STRAY,OTC,1/3/18,ADOPTION,34
BLACK,,Neutered,3/1/15,8,12/1/17,NORMAL,OWNER SURRENDER,OTC,3/4/18,ADOPTION,93
BRN TABBY,,Spayed,12/1/12,10,12/1/17,NORMAL,STRAY,OTC,1/13/18,ADOPTION,43
BRN TABBY,WHITE,Male,12/1/15,7,12/1/17,NORMAL,STRAY,OTC,12/9/17,ADOPTION,8
TAN,,Male,7/2/13,10,12/6/17,ILL MILD,STRAY,OTC,2/11/18,ADOPTION,67
WHITE,BLACK,Male,12/6/15,7,12/6/17,NORMAL,STRAY,OTC,12/15/17,ADOPTION,9
GRAY,,Female,10/15/17,6,12/15/17,NORMAL,STRAY,FIELD,12/22/17,ADOPTION,7
