Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,days_stayed
GRAY TABBY,Spayed,9,7/18/17,NORMAL,STRAY,337
BLACK,Spayed,1,4/24/22,NORMAL,STRAY,334
GRAY,Female,9,8/6/17,NORMAL,STRAY,331
BLACK,Spayed,8,3/25/21,NORMAL,OWNER SURRENDER,329
GRAY,Spayed,4,5/5/22,NORMAL,OWNER SURRENDER,329
BRN TABBY,Neutered,7,4/9/18,FRACTIOUS,STRAY,327
BRN TABBY,Female,4,5/15/19,UNDER AGE/WEIGHT,STRAY,318
GRAY,Neutered,8,5/5/22,NORMAL,OWNER SURRENDER,316
BLACK,Male,6,7/30/17,UNDER AGE/WEIGHT,STRAY,314
GRAY TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,314
BRN TABBY,Male,4,5/19/19,UNDER AGE/WEIGHT,STRAY,314
WHITE,Neutered,6,3/24/21,NORMAL,STRAY,308
BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,307
BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,307
GRAY,Neutered,2,6/12/21,NORMAL,OWNER SURRENDER,307
TORTIE DIL,Spayed,4,7/3/21,NORMAL,STRAY,305
GRAY,Neutered,2,11/7/21,UNDER AGE/WEIGHT,RETURN,305
WHITE,Spayed,5,5/3/20,ILL MILD,STRAY,298
BLACK,Neutered,9,4/3/17,NORMAL,STRAY,297
GRAY,Spayed,7,6/8/19,NORMAL,STRAY,294
WHITE,Spayed,9,3/15/19,NORMAL,OWNER SURRENDER,287
BLACK,Spayed,4,3/5/21,NORMAL,STRAY,285
BRN TABBY,Neutered,10,5/18/18,NORMAL,STRAY,284
BLACK,Spayed,3,9/30/20,UNDER AGE/WEIGHT,STRAY,283
BLACK,Spayed,5,4/7/21,NORMAL,OWNER SURRENDER,283
GRAY TABBY,Neutered,3,4/1/22,NORMAL,STRAY,280
GRAY TABBY,Neutered,9,5/24/20,NORMAL,OWNER SURRENDER,277
WHITE,Neutered,12,5/25/20,INJURED  MODERATE,STRAY,276
WHITE,Female,6,7/10/19,NORMAL,STRAY,275
WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275
WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275
WHITE,Male,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275
WHITE,Female,4,7/10/19,UNDER AGE/WEIGHT,STRAY,275
BRN TABBY,Female,1,6/22/22,NORMAL,STRAY,275
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,271
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,271
BLACK,Neutered,6,5/28/19,INJURED  SEVERE,OWNER SURRENDER,268
GRAY,Spayed,5,5/5/22,NORMAL,OWNER SURRENDER,268
SNOWSHOE,Spayed,11,5/4/17,NORMAL,OWNER SURRENDER,266
CALICO,Spayed,2,5/28/21,NORMAL,STRAY,265
GRAY TABBY,Neutered,2,10/5/21,NORMAL,STRAY,264
BLACK,Spayed,8,7/25/18,INJURED  MILD,STRAY,261
BLACK,Spayed,2,4/2/21,NORMAL,STRAY,257
WHITE,Neutered,3,7/30/22,ILL MODERATETE,STRAY,256
BLACK,Neutered,5,6/20/18,NORMAL,STRAY,255
WHITE,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254
BRN TABBY,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254
BRN TABBY,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254
BLACK,Neutered,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254
BLACK,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,254
BLACK,Spayed,5,6/29/18,UNDER AGE/WEIGHT,STRAY,254
BLACK,Neutered,3,4/10/21,NORMAL,OWNER SURRENDER,249
BRN TABBY,Spayed,13,6/13/21,NORMAL,STRAY,249
GRAY TABBY,Spayed,8,8/12/17,NORMAL,STRAY,248
GRAY,Spayed,4,6/12/19,FRACTIOUS,STRAY,248
GRAY TABBY,Spayed,4,5/21/20,NORMAL,STRAY,247
BRN TABBY,Neutered,12,5/5/21,INJURED  MODERATE,STRAY,244
BLACK,Spayed,2,11/22/22,NORMAL,OWNER SURRENDER,244
BLACK,Spayed,4,4/7/21,NORMAL,STRAY,241
BLACK,Neutered,8,5/28/21,ILL MODERATETE,STRAY,239
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,238
WHITE,Neutered,3,12/12/21,NORMAL,OWNER SURRENDER,238
BLACK,Neutered,4,6/9/19,UNDER AGE/WEIGHT,STRAY,236
BLACK,Neutered,1,6/25/22,NORMAL,STRAY,236
BRN TABBY,Spayed,9,3/15/22,NORMAL,STRAY,232
GRAY,Spayed,4,7/10/19,NORMAL,STRAY,231
ORG TABBY,Neutered,14,8/19/18,NORMAL,OWNER SURRENDER,229
GRAY,Neutered,7,7/7/19,NORMAL,OWNER SURRENDER,228
BRN TABBY,Spayed,3,9/25/22,NORMAL,STRAY,227
BRN TABBY,Neutered,2,10/31/21,NORMAL,WELFARE SEIZED,224
GRAY TABBY,Male,16,3/31/17,NORMAL,OWNER SURRENDER,223
GRAY TABBY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,223
GRAY,Neutered,1,8/27/22,ILL MILD,STRAY,220
WHITE,Neutered,15,2/21/18,NORMAL,OWNER SURRENDER,218
BRN TABBY,Neutered,5,6/20/20,NORMAL,STRAY,217
BLACK,Neutered,7,6/4/22,NORMAL,OWNER SURRENDER,216
GRAY TABBY,Neutered,1,8/20/22,NORMAL,STRAY,216
GRAY TABBY,Male,1,8/20/22,NORMAL,STRAY,216
GRAY TABBY,Neutered,1,8/20/22,NORMAL,STRAY,216
SEAL PT,Male,1,8/20/22,NORMAL,STRAY,216
GRAY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,215
ORG TABBY,Neutered,10,10/18/17,NORMAL,STRAY,213
BRN TABBY,Spayed,4,5/15/19,UNDER AGE/WEIGHT,STRAY,212
BLACK,Neutered,4,8/21/19,UNDER AGE/WEIGHT,STRAY,212
BLACK,Spayed,4,8/21/19,UNDER AGE/WEIGHT,STRAY,212
BLACK,Neutered,13,9/15/19,NORMAL,STRAY,212
BRN TABBY,Female,6,8/18/18,NORMAL,STRAY,210
CALICO,Spayed,15,5/31/19,NORMAL,OWNER SURRENDER,210
BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,210
GRAY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,210
BLACK,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,210
GRAY TABBY,Spayed,4,6/22/19,NORMAL,STRAY,210
BLACK,Male,4,7/12/19,NORMAL,OWNER SURRENDER,210
WHITE,Spayed,5,5/22/21,NORMAL,OWNER SURRENDER,207
BRN TABBY,Neutered,4,7/23/19,UNDER AGE/WEIGHT,CONFISCATE,206
ORG TABBY,Spayed,10,3/1/18,NORMAL,STRAY,203
GRAY,Neutered,4,6/22/19,NORMAL,STRAY,203
WHITE,Spayed,4,6/9/19,UNDER AGE/WEIGHT,CONFISCATE,202
WHITE,Neutered,3,5/12/22,NORMAL,OWNER SURRENDER,202
BLACK,Neutered,1,6/25/22,NORMAL,STRAY,202
TORTIE DIL,Spayed,4,7/6/19,UNDER AGE/WEIGHT,STRAY,201
GRAY,Spayed,16,4/6/18,ILL SEVERE,CONFISCATE,200
ORG TABBY,Neutered,17,8/10/18,NORMAL,OWNER SURRENDER,200
BLACK,Spayed,4,6/4/19,ILL MILD,STRAY,200
BLACK,Neutered,5,5/29/21,ILL MILD,STRAY,200
GRAY TABBY,Spayed,4,6/12/19,FRACTIOUS,STRAY,199
BRN TABBY,Spayed,7,6/12/19,NORMAL,STRAY,199
GRAY,Neutered,4,5/28/19,UNDER AGE/WEIGHT,STRAY,197
BLK SMOKE,Neutered,4,6/26/19,NORMAL,STRAY,197
GRAY,Spayed,8,6/30/17,ILL MILD,OWNER SURRENDER,196
BLACK,Neutered,8,4/7/21,NORMAL,STRAY,196
BLACK,Male,5,8/15/18,FRACTIOUS,STRAY,195
CALICO,Spayed,3,3/5/21,NORMAL,STRAY,195
BLACK,Neutered,4,6/29/19,NORMAL,STRAY,194
BLACK,Neutered,4,6/29/19,NORMAL,STRAY,194
TORTIE,Spayed,2,5/20/22,FRACTIOUS,STRAY,194
ORG TABBY,Neutered,4,7/1/19,NORMAL,STRAY,192
BRN TABBY,Spayed,4,9/10/19,INJURED  SEVERE,STRAY,192
BRN TABBY,Spayed,4,6/19/22,ILL MODERATETE,OWNER SURRENDER,192
BRN TABBY,Spayed,2,7/14/21,UNDER AGE/WEIGHT,STRAY,191
GRAY,Neutered,17,3/31/17,NORMAL,OWNER SURRENDER,189
GRAY TABBY,Neutered,5,6/8/18,NORMAL,STRAY,188
BRN TABBY,Spayed,3,8/5/21,NORMAL,STRAY,188
ORG TABBY,Neutered,1,7/2/22,UNDER AGE/WEIGHT,STRAY,188
BLACK,Spayed,4,7/17/19,UNDER AGE/WEIGHT,STRAY,185
BROWN,Female,11,10/15/17,NORMAL,STRAY,184
BLACK,Neutered,7,2/28/19,FRACTIOUS,STRAY,184
WHITE,Spayed,4,6/13/19,UNDER AGE/WEIGHT,STRAY,184
BLACK,Neutered,4,6/21/19,FRACTIOUS,STRAY,184
ORG TABBY,Neutered,8,8/20/19,NORMAL,STRAY,184
CALICO,Spayed,5,7/23/20,NORMAL,STRAY,184
BLACK,Spayed,8,8/25/20,NORMAL,RETURN,184
GRAY TABBY,Spayed,3,7/21/21,INJURED  MILD,STRAY,184
ORG TABBY,Neutered,2,9/29/21,NORMAL,STRAY,184
BLACK,Neutered,9,5/11/17,FERAL,STRAY,183
WHITE,Spayed,10,8/26/20,ILL MODERATETE,STRAY,183
WHITE,Neutered,8,8/26/20,ILL MODERATETE,STRAY,183
GRAY TABBY,Neutered,6,7/14/17,NORMAL,STRAY,182
GRAY TABBY,Neutered,6,7/14/17,NORMAL,STRAY,182
BRN TABBY,Neutered,4,6/22/19,NORMAL,STRAY,182
WHITE,Neutered,4,8/10/19,ILL MILD,STRAY,182
BLACK,Neutered,2,6/9/21,UNDER AGE/WEIGHT,STRAY,182
BRN TABBY,Neutered,4,6/22/19,NORMAL,STRAY,181
BLACK,Spayed,4,2/7/22,NORMAL,OWNER SURRENDER,181
BROWN,Spayed,12,1/3/21,NORMAL,OWNER SURRENDER,179
BLACK,Spayed,0,4/30/23,UNDER AGE/WEIGHT,STRAY,178
GRAY,Spayed,6,8/27/19,INJURED  MODERATE,STRAY,177
BLACK,Neutered,3,8/27/21,NORMAL,WELFARE SEIZED,177
ORG TABBY,Neutered,8,4/18/18,NORMAL,STRAY,176
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,176
BLACK,Spayed,2,6/14/21,NORMAL,STRAY,176
SEAL PT,Spayed,9,2/8/17,NORMAL,OWNER SURRENDER,175
WHITE,Neutered,4,8/14/19,UNDER AGE/WEIGHT,STRAY,175
BRN TABBY,Spayed,18,11/12/17,NORMAL,OWNER SURRENDER,174
TORTIE,Spayed,13,5/23/21,NORMAL,OWNER SURRENDER,174
BLACK,Neutered,5,2/4/23,ILL SEVERE,STRAY,174
TORTIE,Spayed,4,5/24/19,NORMAL,STRAY,173
BLACK,Neutered,6,8/6/17,UNDER AGE/WEIGHT,STRAY,172
BLACK,Neutered,5,5/12/19,ILL SEVERE,STRAY,171
BRN TABBY,Spayed,5,9/7/20,NORMAL,STRAY,171
ORG TABBY,Neutered,5,9/7/20,NORMAL,STRAY,171
CALICO,Spayed,12,8/18/21,ILL SEVERE,STRAY,171
CALICO,Spayed,9,11/14/21,ILL MILD,OWNER SURRENDER,171
GRAY,Neutered,9,9/13/21,ILL MILD,STRAY,170
BLACK,Spayed,5,8/17/18,UNDER AGE/WEIGHT,STRAY,169
PINK,Female,5,1/8/19,INJURED  SEVERE,CONFISCATE,169
BLACK,Spayed,16,8/28/19,FRACTIOUS,OWNER SURRENDER,168
GRAY TABBY,Neutered,5,5/5/23,NORMAL,STRAY,168
BLACK,Spayed,4,9/27/19,UNDER AGE/WEIGHT,STRAY,167
BLACK,Neutered,0,5/11/23,NORMAL,STRAY,167
BRN TABBY,Spayed,7,11/16/18,FRACTIOUS,STRAY,165
BRN TABBY,Neutered,4,7/28/19,NORMAL,STRAY,165
BRN TABBY,Neutered,4,7/28/19,NORMAL,STRAY,165
BLACK,Spayed,6,9/15/18,NORMAL,STRAY,164
BRN TABBY,Spayed,2,9/11/22,FRACTIOUS,STRAY,164
BLACK,Spayed,11,6/20/20,NORMAL,STRAY,162
BLACK,Neutered,4,6/1/19,UNDER AGE/WEIGHT,STRAY,161
BLACK,Male,4,7/2/19,UNDER AGE/WEIGHT,STRAY,161
GRAY,Spayed,9,8/29/21,NORMAL,OWNER SURRENDER,160
ORG TABBY,Neutered,4,4/1/23,I/I REPORT,RETURN,160
GRAY TABBY,Spayed,4,5/9/19,INJURED  SEVERE,STRAY,159
GRAY TABBY,Spayed,4,6/15/19,FRACTIOUS,STRAY,159
GRAY TABBY,Spayed,4,6/15/19,NORMAL,STRAY,159
CALICO,Spayed,2,5/28/21,NORMAL,STRAY,158
ORG TABBY,Neutered,3,10/2/22,NORMAL,OWNER SURRENDER,157
BRN TABBY,Neutered,2,4/11/23,INJURED  SEVERE,STRAY,157
BRN TABBY,Neutered,4,8/14/19,ILL SEVERE,STRAY,156
BLACK,Spayed,7,2/8/17,NORMAL,OWNER SURRENDER,155
BRN TABBY,Spayed,5,8/4/18,UNDER AGE/WEIGHT,STRAY,154
ORANGE,Neutered,4,6/13/19,UNDER AGE/WEIGHT,STRAY,154
CALICO DIL,Spayed,5,9/16/21,NORMAL,STRAY,154
CHOC PT,Neutered,4,5/21/21,FRACTIOUS,RETURN,153
ORG TABBY,Neutered,21,4/6/18,ILL SEVERE,CONFISCATE,152
BLACK,Spayed,5,10/13/18,UNDER AGE/WEIGHT,STRAY,152
BRN TABBY,Neutered,7,12/13/18,NORMAL,STRAY,152
BLACK,Neutered,2,7/11/21,NORMAL,STRAY,151
ORG TABBY,Neutered,1,7/2/22,UNDER AGE/WEIGHT,STRAY,151
GRAY TABBY,Neutered,1,8/6/22,NORMAL,RETURN,151
BRN TABBY,Spayed,4,8/7/19,UNDER AGE/WEIGHT,STRAY,150
GRAY,Spayed,2,6/6/21,NORMAL,STRAY,150
BLACK,Spayed,4,8/2/19,NORMAL,STRAY,149
BLACK,Unknown,3,8/27/20,NORMAL,STRAY,149
BLACK,Neutered,3,8/27/20,NORMAL,OWNER SURRENDER,149
SEAL PT,Spayed,7,7/18/18,NORMAL,OWNER SURRENDER,148
BLACK,Spayed,3,8/14/21,NORMAL,OWNER SURRENDER,148
GRAY,Spayed,1,7/7/22,ILL MILD,STRAY,148
BRN TABBY,Neutered,8,8/29/20,INJURED  SEVERE,STRAY,147
GRAY,Neutered,7,3/13/22,BEHAVIOR  MODERATE,OWNER SURRENDER,147
GRAY,Neutered,13,6/1/17,NORMAL,OWNER SURRENDER,146
BRN TABBY,Spayed,9,9/14/17,NORMAL,STRAY,146
BRN TABBY,Spayed,5,7/20/18,FRACTIOUS,STRAY,146
BLACK,Spayed,12,3/3/19,NORMAL,OWNER SURRENDER,146
BRN TABBY,Neutered,4,5/24/19,UNDER AGE/WEIGHT,STRAY,146
BROWN,Spayed,1,3/5/23,ILL SEVERE,STRAY,145
BLACK,Neutered,4,7/28/19,NORMAL,STRAY,144
GRAY TABBY,Spayed,9,10/27/19,NORMAL,OWNER SURRENDER,144
BLACK,Spayed,2,6/5/21,UNDER AGE/WEIGHT,STRAY,144
BLACK,Neutered,2,8/13/22,ILL MILD,OWNER SURRENDER,144
BROWN,Neutered,6,9/16/17,UNDER AGE/WEIGHT,STRAY,143
GRAY TABBY,Neutered,4,6/2/19,FRACTIOUS,STRAY,143
WHITE,Neutered,4,7/10/19,NORMAL,OWNER SURRENDER,143
ORG TABBY,Neutered,4,8/8/19,NORMAL,STRAY,142
GRAY TABBY,Neutered,5,6/8/18,NORMAL,STRAY,140
GRAY,Spayed,4,6/22/19,NORMAL,STRAY,140
BLACK,Spayed,4,7/27/19,FRACTIOUS,STRAY,140
FLAME PT,Spayed,9,8/9/19,NORMAL,OWNER SURRENDER,140
BLACK,Neutered,14,9/21/17,NORMAL,OWNER SURRENDER,139
BLACK,Female,6,4/6/18,ILL SEVERE,CONFISCATE,139
TORTIE DIL,Spayed,11,8/23/19,NORMAL,OWNER SURRENDER,139
GRAY,Spayed,2,10/16/21,UNDER AGE/WEIGHT,STRAY,139
GRAY,Spayed,2,4/2/22,UNDER AGE/WEIGHT,STRAY,139
CALICO,Spayed,0,2/18/23,UNDER AGE/WEIGHT,STRAY,139
CALICO,Spayed,8,6/29/17,NORMAL,STRAY,138
BRN TABBY,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,138
CALICO,Spayed,5,6/15/21,INJURED  SEVERE,STRAY,138
GRAY,Spayed,9,3/11/17,NORMAL,OWNER SURRENDER,137
GRAY TABBY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,137
ORANGE,Neutered,6,8/11/19,NORMAL,OWNER SURRENDER,137
GRAY,Spayed,2,4/13/22,NORMAL,STRAY,137
ORG TABBY,Neutered,4,8/8/19,NORMAL,STRAY,136
GRAY TABBY,Neutered,4,8/14/19,ILL SEVERE,STRAY,136
BRN TABBY,Spayed,4,8/14/19,ILL SEVERE,STRAY,136
BRN TABBY,Neutered,4,9/5/21,INJURED  MODERATE,STRAY,136
GRAY TABBY,Spayed,4,8/2/19,NORMAL,STRAY,135
BLACK,Neutered,2,3/15/22,NORMAL,OWNER SURRENDER,135
GRAY TABBY,Neutered,6,7/13/19,NORMAL,STRAY,134
BLACK,Spayed,19,8/16/19,NORMAL,OWNER SURRENDER,134
BRN TABBY,Spayed,7,8/28/19,NORMAL,STRAY,134
WHITE,Neutered,12,12/9/20,ILL SEVERE,STRAY,134
BLACK,Spayed,2,10/16/21,UNDER AGE/WEIGHT,STRAY,134
WHITE,Spayed,5,8/4/18,UNDER AGE/WEIGHT,STRAY,133
GRAY TABBY,Spayed,2,8/4/21,NORMAL,STRAY,133
ORG TABBY,Neutered,1,6/22/22,NORMAL,STRAY,133
GRAY TABBY,Neutered,1,7/21/22,ILL MODERATETE,STRAY,133
BRN TABBY,Spayed,4,11/9/22,NORMAL,WELFARE SEIZED,133
BLACK,Neutered,7,2/23/17,NORMAL,OWNER SURRENDER,132
CALICO,Spayed,10,2/23/17,NORMAL,OWNER SURRENDER,132
GRAY TABBY,Spayed,4,8/8/19,NORMAL,STRAY,132
TORTIE DIL,Spayed,11,4/7/21,NORMAL,OWNER SURRENDER,132
ORANGE,Neutered,12,4/7/21,NORMAL,STRAY,132
BLK SMOKE,Spayed,3,10/17/20,NORMAL,STRAY,131
GRAY TABBY,Neutered,2,6/6/21,NORMAL,STRAY,131
BRN TABBY,Spayed,2,8/31/21,NORMAL,STRAY,131
WHITE,Spayed,3,9/19/21,NORMAL,STRAY,131
ORG TABBY,Neutered,4,6/20/22,NORMAL,WELFARE SEIZED,131
BLACK,Spayed,8,3/31/23,NORMAL,OWNER SURRENDER,131
BLACK,Neutered,0,5/27/23,ILL MILD,STRAY,131
ORG TABBY,Neutered,0,6/7/23,UNDER AGE/WEIGHT,STRAY,131
BRN TIGER,Male,5,10/19/18,NORMAL,STRAY,130
BRN TABBY,Neutered,8,6/22/19,ILL MILD,STRAY,130
BRN TABBY,Spayed,10,11/15/17,ILL SEVERE,OWNER SURRENDER,129
TORTIE DIL,Spayed,11,9/6/17,NORMAL,CONFISCATE,128
BRN TABBY,Neutered,6,9/6/17,NORMAL,STRAY,128
WHITE,Neutered,10,10/18/17,NORMAL,STRAY,128
BLACK,Spayed,8,8/9/19,ILL MODERATETE,STRAY,128
BLACK,Neutered,4,8/21/19,UNDER AGE/WEIGHT,STRAY,128
ORG TABBY,Neutered,8,8/22/19,NORMAL,OWNER SURRENDER,128
BLACK,Neutered,2,8/4/21,NORMAL,STRAY,128
WHITE,Neutered,1,8/31/22,NORMAL,OWNER SURRENDER,128
BLACK,Neutered,2,10/4/22,INJURED  MODERATE,STRAY,128
BLACK,Spayed,1,11/23/22,NORMAL,STRAY,128
BLACK,Neutered,10,4/13/17,ILL MILD,STRAY,127
SNOWSHOE,Neutered,3,5/23/20,NORMAL,STRAY,127
BLACK,Neutered,1,4/2/22,UNDER AGE/WEIGHT,STRAY,127
TORTIE,Spayed,1,4/2/22,UNDER AGE/WEIGHT,STRAY,127
BLACK,Neutered,1,8/26/22,NORMAL,RETURN,127
BRN TABBY,Spayed,3,8/31/22,INJURED  MILD,STRAY,127
ORG TABBY,Neutered,6,8/31/22,NORMAL,OWNER SURRENDER,127
GRAY TABBY,Female,8,10/4/17,NORMAL,OWNER SURRENDER,126
GRAY,Spayed,8,10/4/17,NORMAL,OWNER SURRENDER,126
CALICO,Female,7,5/17/18,NORMAL,STRAY,126
BROWN,Spayed,5,11/23/18,NORMAL,STRAY,126
ORG TABBY,Neutered,3,10/22/20,NORMAL,STRAY,126
ORANGE,Neutered,3,4/9/22,ILL MODERATETE,OWNER SURRENDER,126
BLACK,Spayed,9,7/28/17,NORMAL,STRAY,125
GRAY TABBY,Neutered,9,10/21/17,NORMAL,OWNER SURRENDER,125
BLACK,Neutered,5,6/20/18,UNDER AGE/WEIGHT,STRAY,125
GRAY,Spayed,17,8/10/18,NORMAL,OWNER SURRENDER,125
BLK SMOKE,Neutered,4,8/2/19,NORMAL,STRAY,125
BRN TABBY,Spayed,5,4/22/21,NORMAL,CONFISCATE,125
GRAY,Spayed,1,8/18/22,ILL MODERATETE,STRAY,125
ORG TABBY,Neutered,8,6/23/17,NORMAL,STRAY,124
TRICOLOR,Spayed,10,4/25/18,ILL SEVERE,OWNER SURRENDER,124
FLAME PT,Neutered,8,8/18/19,NORMAL,STRAY,124
BRN TABBY,Spayed,3,8/16/20,UNDER AGE/WEIGHT,STRAY,124
BLACK,Spayed,5,5/27/18,UNDER AGE/WEIGHT,STRAY,123
BLACK,Neutered,9,6/29/19,NORMAL,OWNER SURRENDER,123
BLACK,Spayed,3,9/22/20,NORMAL,RETURN,123
BLACK,Spayed,1,5/22/22,UNDER AGE/WEIGHT,STRAY,123
BLACK,Neutered,9,6/1/22,BEHAVIOR  MILD,OWNER SURRENDER,123
BRN TABBY,Spayed,12,5/13/17,NORMAL,STRAY,122
SEAL PT,Male,6,10/24/17,UNDER AGE/WEIGHT,STRAY,122
BLACK,Female,6,10/24/17,UNDER AGE/WEIGHT,STRAY,122
GRAY TABBY,Spayed,10,1/12/19,NORMAL,STRAY,122
GRAY TABBY,Spayed,10,4/23/20,NORMAL,OWNER SURRENDER,122
GRAY TABBY,Neutered,3,4/12/22,NORMAL,STRAY,122
BLACK,Neutered,3,4/27/22,NORMAL,OWNER SURRENDER,122
BLACK,Spayed,0,3/28/23,ILL MODERATETE,STRAY,122
ORANGE,Neutered,6,4/7/21,NORMAL,OWNER SURRENDER,121
GRAY,Spayed,2,8/31/21,NORMAL,STRAY,121
GRAY,Neutered,2,8/31/21,NORMAL,STRAY,121
BRN TABBY,Spayed,5,7/24/19,NORMAL,STRAY,120
BLACK,Neutered,4,8/21/19,UNDER AGE/WEIGHT,STRAY,120
BLACK,Spayed,4,8/21/19,UNDER AGE/WEIGHT,STRAY,120
GRAY TABBY,Spayed,11,8/31/19,NORMAL,OWNER SURRENDER,120
BLACK,Spayed,5,9/11/19,NORMAL,OWNER SURRENDER,120
ORG TABBY,Neutered,4,3/1/22,FRACTIOUS,STRAY,120
BLACK,Spayed,1,8/4/22,NORMAL,STRAY,120
BLACK,Spayed,1,8/26/22,NORMAL,RETURN,120
TRICOLOR,Spayed,2,3/17/23,NORMAL,OWNER SURRENDER,120
TORTIE,Spayed,6,9/15/17,FERAL,STRAY,119
BRN TABBY,Female,8,11/3/18,NORMAL,STRAY,119
BRN TABBY,Neutered,4,10/18/19,ILL SEVERE,STRAY,119
GRAY TABBY,Neutered,1,9/7/22,NORMAL,STRAY,119
ORANGE,Neutered,16,5/24/23,NORMAL,OWNER SURRENDER,119
GRAY TABBY,Spayed,9,12/15/18,FRACTIOUS,STRAY,118
BLACK,Neutered,4,9/8/19,NORMAL,STRAY,118
GRAY TABBY,Spayed,3,4/10/21,NORMAL,STRAY,118
ORG TABBY,Neutered,3,9/19/21,NORMAL,STRAY,118
GRAY,Neutered,1,5/22/22,UNDER AGE/WEIGHT,STRAY,118
BLACK,Spayed,5,1/13/23,NORMAL,OWNER SURRENDER,118
BLACK,Spayed,12,3/9/21,ILL SEVERE,CONFISCATE,117
GRAY,Spayed,1,1/7/22,NORMAL,STRAY,117
ORANGE,Neutered,1,1/7/22,NORMAL,STRAY,117
ORANGE,Neutered,1,1/7/22,NORMAL,STRAY,117
CALICO,Spayed,1,1/7/22,NORMAL,STRAY,117
BRN TABBY,Neutered,0,5/19/23,ILL MILD,STRAY,117
WHITE,Neutered,7,3/11/17,NORMAL,STRAY,116
GRAY TABBY,Neutered,6,8/30/17,INJURED  MILD,STRAY,116
BLACK,Neutered,5,8/21/19,NORMAL,OWNER SURRENDER,116
ORG TABBY,Neutered,4,9/15/19,NORMAL,STRAY,116
WHITE,Spayed,3,8/21/21,ILL SEVERE,OWNER SURRENDER,116
