Primary_Color,Sex,Age,Intake_Date,Intake_Condition,Intake_Type,days_stayed,Primary_Color_encoded,Sex_encoded,Intake_Condition_encoded,Intake_Type_encoded
WHITE,Neutered,3,12/12/21,NORMAL,OWNER SURRENDER,238,32,2,13,1
BLACK,Neutered,4,6/9/19,UNDER AGE/WEIGHT,STRAY,236,0,2,14,3
BLACK,Neutered,1,6/25/22,NORMAL,STRAY,236,0,2,13,3
BRN TABBY,Spayed,9,3/15/22,NORMAL,STRAY,232,5,3,13,3
GRAY,Spayed,4,7/10/19,NORMAL,STRAY,231,15,3,13,3
ORG TABBY,Neutered,14,8/19/18,NORMAL,OWNER SURRENDER,229,22,2,13,1
GRAY,Neutered,7,7/7/19,NORMAL,OWNER SURRENDER,228,15,2,13,1
BRN TABBY,Spayed,3,9/25/22,NORMAL,STRAY,227,5,3,13,3
BRN TABBY,Neutered,2,10/31/21,NORMAL,WELFARE SEIZED,224,5,2,13,4
GRAY TABBY,Male,16,3/31/17,NORMAL,OWNER SURRENDER,223,16,1,13,1
GRAY TABBY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,223,16,2,14,3
GRAY,Neutered,1,8/27/22,ILL MILD,STRAY,220,15,2,7,3
WHITE,Neutered,15,2/21/18,NORMAL,OWNER SURRENDER,218,32,2,13,1
BRN TABBY,Neutered,5,6/20/20,NORMAL,STRAY,217,5,2,13,3
BLACK,Neutered,7,6/4/22,NORMAL,OWNER SURRENDER,216,0,2,13,1
GRAY TABBY,Neutered,1,8/20/22,NORMAL,STRAY,216,16,2,13,3
GRAY TABBY,Male,1,8/20/22,NORMAL,STRAY,216,16,1,13,3
GRAY TABBY,Neutered,1,8/20/22,NORMAL,STRAY,216,16,2,13,3
SEAL PT,Male,1,8/20/22,NORMAL,STRAY,216,24,1,13,3
GRAY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,215,15,2,14,3
ORG TABBY,Neutered,10,10/18/17,NORMAL,STRAY,213,22,2,13,3
BRN TABBY,Spayed,4,5/15/19,UNDER AGE/WEIGHT,STRAY,212,5,3,14,3
BLACK,Neutered,4,8/21/19,UNDER AGE/WEIGHT,STRAY,212,0,2,14,3
BLACK,Spayed,4,8/21/19,UNDER AGE/WEIGHT,STRAY,212,0,3,14,3
BLACK,Neutered,13,9/15/19,NORMAL,STRAY,212,0,2,13,3
BRN TABBY,Female,6,8/18/18,NORMAL,STRAY,210,5,0,13,3
CALICO,Spayed,15,5/31/19,NORMAL,OWNER SURRENDER,210,8,3,13,1
BRN TABBY,Spayed,6,6/1/19,NORMAL,STRAY,210,5,3,13,3
GRAY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,210,15,2,14,3
BLACK,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,210,0,2,14,3
GRAY TABBY,Spayed,4,6/22/19,NORMAL,STRAY,210,16,3,13,3
BLACK,Male,4,7/12/19,NORMAL,OWNER SURRENDER,210,0,1,13,1
WHITE,Spayed,5,5/22/21,NORMAL,OWNER SURRENDER,207,32,3,13,1
BRN TABBY,Neutered,4,7/23/19,UNDER AGE/WEIGHT,CONFISCATE,206,5,2,14,0
ORG TABBY,Spayed,10,3/1/18,NORMAL,STRAY,203,22,3,13,3
GRAY,Neutered,4,6/22/19,NORMAL,STRAY,203,15,2,13,3
WHITE,Spayed,4,6/9/19,UNDER AGE/WEIGHT,CONFISCATE,202,32,3,14,0
WHITE,Neutered,3,5/12/22,NORMAL,OWNER SURRENDER,202,32,2,13,1
BLACK,Neutered,1,6/25/22,NORMAL,STRAY,202,0,2,13,3
TORTIE DIL,Spayed,4,7/6/19,UNDER AGE/WEIGHT,STRAY,201,30,3,14,3
GRAY,Spayed,16,4/6/18,ILL SEVERE,CONFISCATE,200,15,3,9,0
ORG TABBY,Neutered,17,8/10/18,NORMAL,OWNER SURRENDER,200,22,2,13,1
BLACK,Spayed,4,6/4/19,ILL MILD,STRAY,200,0,3,7,3
BLACK,Neutered,5,5/29/21,ILL MILD,STRAY,200,0,2,7,3
GRAY TABBY,Spayed,4,6/12/19,FRACTIOUS,STRAY,199,16,3,5,3
BRN TABBY,Spayed,7,6/12/19,NORMAL,STRAY,199,5,3,13,3
GRAY,Neutered,4,5/28/19,UNDER AGE/WEIGHT,STRAY,197,15,2,14,3
BLK SMOKE,Neutered,4,6/26/19,NORMAL,STRAY,197,1,2,13,3
GRAY,Spayed,8,6/30/17,ILL MILD,OWNER SURRENDER,196,15,3,7,1
BLACK,Neutered,8,4/7/21,NORMAL,STRAY,196,0,2,13,3
BLACK,Male,5,8/15/18,FRACTIOUS,STRAY,195,0,1,5,3
CALICO,Spayed,3,3/5/21,NORMAL,STRAY,195,8,3,13,3
BLACK,Neutered,4,6/29/19,NORMAL,STRAY,194,0,2,13,3
BLACK,Neutered,4,6/29/19,NORMAL,STRAY,194,0,2,13,3
TORTIE,Spayed,2,5/20/22,FRACTIOUS,STRAY,194,29,3,5,3
ORG TABBY,Neutered,4,7/1/19,NORMAL,STRAY,192,22,2,13,3
BRN TABBY,Spayed,4,9/10/19,INJURED  SEVERE,STRAY,192,5,3,12,3
BRN TABBY,Spayed,4,6/19/22,ILL MODERATETE,OWNER SURRENDER,192,5,3,8,1
BRN TABBY,Spayed,2,7/14/21,UNDER AGE/WEIGHT,STRAY,191,5,3,14,3
GRAY,Neutered,17,3/31/17,NORMAL,OWNER SURRENDER,189,15,2,13,1
GRAY TABBY,Neutered,5,6/8/18,NORMAL,STRAY,188,16,2,13,3
BRN TABBY,Spayed,3,8/5/21,NORMAL,STRAY,188,5,3,13,3
ORG TABBY,Neutered,1,7/2/22,UNDER AGE/WEIGHT,STRAY,188,22,2,14,3
BLACK,Spayed,4,7/17/19,UNDER AGE/WEIGHT,STRAY,185,0,3,14,3
BROWN,Female,11,10/15/17,NORMAL,STRAY,184,7,0,13,3
BLACK,Neutered,7,2/28/19,FRACTIOUS,STRAY,184,0,2,5,3
WHITE,Spayed,4,6/13/19,UNDER AGE/WEIGHT,STRAY,184,32,3,14,3
BLACK,Neutered,4,6/21/19,FRACTIOUS,STRAY,184,0,2,5,3
ORG TABBY,Neutered,8,8/20/19,NORMAL,STRAY,184,22,2,13,3
CALICO,Spayed,5,7/23/20,NORMAL,STRAY,184,8,3,13,3
BLACK,Spayed,8,8/25/20,NORMAL,RETURN,184,0,3,13,2
GRAY TABBY,Spayed,3,7/21/21,INJURED  MILD,STRAY,184,16,3,10,3
ORG TABBY,Neutered,2,9/29/21,NORMAL,STRAY,184,22,2,13,3
BLACK,Neutered,9,5/11/17,FERAL,STRAY,183,0,2,4,3
WHITE,Spayed,10,8/26/20,ILL MODERATETE,STRAY,183,32,3,8,3
WHITE,Neutered,8,8/26/20,ILL MODERATETE,STRAY,183,32,2,8,3
GRAY TABBY,Neutered,6,7/14/17,NORMAL,STRAY,182,16,2,13,3
GRAY TABBY,Neutered,6,7/14/17,NORMAL,STRAY,182,16,2,13,3
BRN TABBY,Neutered,4,6/22/19,NORMAL,STRAY,182,5,2,13,3
WHITE,Neutered,4,8/10/19,ILL MILD,STRAY,182,32,2,7,3
BLACK,Neutered,2,6/9/21,UNDER AGE/WEIGHT,STRAY,182,0,2,14,3
BRN TABBY,Neutered,4,6/22/19,NORMAL,STRAY,181,5,2,13,3
BLACK,Spayed,4,2/7/22,NORMAL,OWNER SURRENDER,181,0,3,13,1
BROWN,Spayed,12,1/3/21,NORMAL,OWNER SURRENDER,179,7,3,13,1
BLACK,Spayed,0,4/30/23,UNDER AGE/WEIGHT,STRAY,178,0,3,14,3
GRAY,Spayed,6,8/27/19,INJURED  MODERATE,STRAY,177,15,3,11,3
BLACK,Neutered,3,8/27/21,NORMAL,WELFARE SEIZED,177,0,2,13,4
ORG TABBY,Neutered,8,4/18/18,NORMAL,STRAY,176,22,2,13,3
BLACK,Spayed,4,6/22/19,NORMAL,STRAY,176,0,3,13,3
BLACK,Spayed,2,6/14/21,NORMAL,STRAY,176,0,3,13,3
SEAL PT,Spayed,9,2/8/17,NORMAL,OWNER SURRENDER,175,24,3,13,1
WHITE,Neutered,4,8/14/19,UNDER AGE/WEIGHT,STRAY,175,32,2,14,3
BRN TABBY,Spayed,18,11/12/17,NORMAL,OWNER SURRENDER,174,5,3,13,1
TORTIE,Spayed,13,5/23/21,NORMAL,OWNER SURRENDER,174,29,3,13,1
BLACK,Neutered,5,2/4/23,ILL SEVERE,STRAY,174,0,2,9,3
TORTIE,Spayed,4,5/24/19,NORMAL,STRAY,173,29,3,13,3
BLACK,Neutered,6,8/6/17,UNDER AGE/WEIGHT,STRAY,172,0,2,14,3
BLACK,Neutered,5,5/12/19,ILL SEVERE,STRAY,171,0,2,9,3
BRN TABBY,Spayed,5,9/7/20,NORMAL,STRAY,171,5,3,13,3
ORG TABBY,Neutered,5,9/7/20,NORMAL,STRAY,171,22,2,13,3
CALICO,Spayed,12,8/18/21,ILL SEVERE,STRAY,171,8,3,9,3
CALICO,Spayed,9,11/14/21,ILL MILD,OWNER SURRENDER,171,8,3,7,1
GRAY,Neutered,9,9/13/21,ILL MILD,STRAY,170,15,2,7,3
BLACK,Spayed,5,8/17/18,UNDER AGE/WEIGHT,STRAY,169,0,3,14,3
BLACK,Spayed,16,8/28/19,FRACTIOUS,OWNER SURRENDER,168,0,3,5,1
GRAY TABBY,Neutered,5,5/5/23,NORMAL,STRAY,168,16,2,13,3
BLACK,Spayed,4,9/27/19,UNDER AGE/WEIGHT,STRAY,167,0,3,14,3
BLACK,Neutered,0,5/11/23,NORMAL,STRAY,167,0,2,13,3
BRN TABBY,Spayed,7,11/16/18,FRACTIOUS,STRAY,165,5,3,5,3
BRN TABBY,Neutered,4,7/28/19,NORMAL,STRAY,165,5,2,13,3
BRN TABBY,Neutered,4,7/28/19,NORMAL,STRAY,165,5,2,13,3
BLACK,Spayed,6,9/15/18,NORMAL,STRAY,164,0,3,13,3
BRN TABBY,Spayed,2,9/11/22,FRACTIOUS,STRAY,164,5,3,5,3
BLACK,Spayed,11,6/20/20,NORMAL,STRAY,162,0,3,13,3
BLACK,Neutered,4,6/1/19,UNDER AGE/WEIGHT,STRAY,161,0,2,14,3
BLACK,Male,4,7/2/19,UNDER AGE/WEIGHT,STRAY,161,0,1,14,3
GRAY,Spayed,9,8/29/21,NORMAL,OWNER SURRENDER,160,15,3,13,1
ORG TABBY,Neutered,4,4/1/23,I/I REPORT,RETURN,160,22,2,6,2
GRAY TABBY,Spayed,4,5/9/19,INJURED  SEVERE,STRAY,159,16,3,12,3
GRAY TABBY,Spayed,4,6/15/19,FRACTIOUS,STRAY,159,16,3,5,3
GRAY TABBY,Spayed,4,6/15/19,NORMAL,STRAY,159,16,3,13,3
CALICO,Spayed,2,5/28/21,NORMAL,STRAY,158,8,3,13,3
ORG TABBY,Neutered,3,10/2/22,NORMAL,OWNER SURRENDER,157,22,2,13,1
BRN TABBY,Neutered,2,4/11/23,INJURED  SEVERE,STRAY,157,5,2,12,3
BRN TABBY,Neutered,4,8/14/19,ILL SEVERE,STRAY,156,5,2,9,3
BLACK,Spayed,7,2/8/17,NORMAL,OWNER SURRENDER,155,0,3,13,1
BRN TABBY,Spayed,5,8/4/18,UNDER AGE/WEIGHT,STRAY,154,5,3,14,3
ORANGE,Neutered,4,6/13/19,UNDER AGE/WEIGHT,STRAY,154,21,2,14,3
CALICO DIL,Spayed,5,9/16/21,NORMAL,STRAY,154,9,3,13,3
CHOC PT,Neutered,4,5/21/21,FRACTIOUS,RETURN,153,11,2,5,2
ORG TABBY,Neutered,21,4/6/18,ILL SEVERE,CONFISCATE,152,22,2,9,0
BLACK,Spayed,5,10/13/18,UNDER AGE/WEIGHT,STRAY,152,0,3,14,3
BRN TABBY,Neutered,7,12/13/18,NORMAL,STRAY,152,5,2,13,3
BLACK,Neutered,2,7/11/21,NORMAL,STRAY,151,0,2,13,3
ORG TABBY,Neutered,1,7/2/22,UNDER AGE/WEIGHT,STRAY,151,22,2,14,3
GRAY TABBY,Neutered,1,8/6/22,NORMAL,RETURN,151,16,2,13,2
BRN TABBY,Spayed,4,8/7/19,UNDER AGE/WEIGHT,STRAY,150,5,3,14,3
GRAY,Spayed,2,6/6/21,NORMAL,STRAY,150,15,3,13,3
BLACK,Spayed,4,8/2/19,NORMAL,STRAY,149,0,3,13,3
BLACK,Neutered,3,8/27/20,NORMAL,OWNER SURRENDER,149,0,2,13,1
SEAL PT,Spayed,7,7/18/18,NORMAL,OWNER SURRENDER,148,24,3,13,1
BLACK,Spayed,3,8/14/21,NORMAL,OWNER SURRENDER,148,0,3,13,1
GRAY,Spayed,1,7/7/22,ILL MILD,STRAY,148,15,3,7,3
BRN TABBY,Neutered,8,8/29/20,INJURED  SEVERE,STRAY,147,5,2,12,3
GRAY,Neutered,7,3/13/22,BEHAVIOR  MODERATE,OWNER SURRENDER,147,15,2,2,1
GRAY,Neutered,13,6/1/17,NORMAL,OWNER SURRENDER,146,15,2,13,1
BRN TABBY,Spayed,9,9/14/17,NORMAL,STRAY,146,5,3,13,3
BRN TABBY,Spayed,5,7/20/18,FRACTIOUS,STRAY,146,5,3,5,3
BLACK,Spayed,12,3/3/19,NORMAL,OWNER SURRENDER,146,0,3,13,1
BRN TABBY,Neutered,4,5/24/19,UNDER AGE/WEIGHT,STRAY,146,5,2,14,3
BROWN,Spayed,1,3/5/23,ILL SEVERE,STRAY,145,7,3,9,3
BLACK,Neutered,4,7/28/19,NORMAL,STRAY,144,0,2,13,3
GRAY TABBY,Spayed,9,10/27/19,NORMAL,OWNER SURRENDER,144,16,3,13,1
BLACK,Spayed,2,6/5/21,UNDER AGE/WEIGHT,STRAY,144,0,3,14,3
BLACK,Neutered,2,8/13/22,ILL MILD,OWNER SURRENDER,144,0,2,7,1
BROWN,Neutered,6,9/16/17,UNDER AGE/WEIGHT,STRAY,143,7,2,14,3
GRAY TABBY,Neutered,4,6/2/19,FRACTIOUS,STRAY,143,16,2,5,3
WHITE,Neutered,4,7/10/19,NORMAL,OWNER SURRENDER,143,32,2,13,1
ORG TABBY,Neutered,4,8/8/19,NORMAL,STRAY,142,22,2,13,3
GRAY TABBY,Neutered,5,6/8/18,NORMAL,STRAY,140,16,2,13,3
GRAY,Spayed,4,6/22/19,NORMAL,STRAY,140,15,3,13,3
BLACK,Spayed,4,7/27/19,FRACTIOUS,STRAY,140,0,3,5,3
FLAME PT,Spayed,9,8/9/19,NORMAL,OWNER SURRENDER,140,14,3,13,1
BLACK,Neutered,14,9/21/17,NORMAL,OWNER SURRENDER,139,0,2,13,1
BLACK,Female,6,4/6/18,ILL SEVERE,CONFISCATE,139,0,0,9,0
TORTIE DIL,Spayed,11,8/23/19,NORMAL,OWNER SURRENDER,139,30,3,13,1
GRAY,Spayed,2,10/16/21,UNDER AGE/WEIGHT,STRAY,139,15,3,14,3
GRAY,Spayed,2,4/2/22,UNDER AGE/WEIGHT,STRAY,139,15,3,14,3
CALICO,Spayed,0,2/18/23,UNDER AGE/WEIGHT,STRAY,139,8,3,14,3
CALICO,Spayed,8,6/29/17,NORMAL,STRAY,138,8,3,13,3
BRN TABBY,Neutered,4,9/15/19,UNDER AGE/WEIGHT,STRAY,138,5,2,14,3
CALICO,Spayed,5,6/15/21,INJURED  SEVERE,STRAY,138,8,3,12,3
GRAY,Spayed,9,3/11/17,NORMAL,OWNER SURRENDER,137,15,3,13,1
GRAY TABBY,Neutered,4,6/8/19,UNDER AGE/WEIGHT,STRAY,137,16,2,14,3
ORANGE,Neutered,6,8/11/19,NORMAL,OWNER SURRENDER,137,21,2,13,1
GRAY,Spayed,2,4/13/22,NORMAL,STRAY,137,15,3,13,3
ORG TABBY,Neutered,4,8/8/19,NORMAL,STRAY,136,22,2,13,3
GRAY TABBY,Neutered,4,8/14/19,ILL SEVERE,STRAY,136,16,2,9,3
BRN TABBY,Spayed,4,8/14/19,ILL SEVERE,STRAY,136,5,3,9,3
BRN TABBY,Neutered,4,9/5/21,INJURED  MODERATE,STRAY,136,5,2,11,3
GRAY TABBY,Spayed,4,8/2/19,NORMAL,STRAY,135,16,3,13,3
BLACK,Neutered,2,3/15/22,NORMAL,OWNER SURRENDER,135,0,2,13,1
GRAY TABBY,Neutered,6,7/13/19,NORMAL,STRAY,134,16,2,13,3
BLACK,Spayed,19,8/16/19,NORMAL,OWNER SURRENDER,134,0,3,13,1
BRN TABBY,Spayed,7,8/28/19,NORMAL,STRAY,134,5,3,13,3
WHITE,Neutered,12,12/9/20,ILL SEVERE,STRAY,134,32,2,9,3
BLACK,Spayed,2,10/16/21,UNDER AGE/WEIGHT,STRAY,134,0,3,14,3
WHITE,Spayed,5,8/4/18,UNDER AGE/WEIGHT,STRAY,133,32,3,14,3
GRAY TABBY,Spayed,2,8/4/21,NORMAL,STRAY,133,16,3,13,3
ORG TABBY,Neutered,1,6/22/22,NORMAL,STRAY,133,22,2,13,3
GRAY TABBY,Neutered,1,7/21/22,ILL MODERATETE,STRAY,133,16,2,8,3
BRN TABBY,Spayed,4,11/9/22,NORMAL,WELFARE SEIZED,133,5,3,13,4
BLACK,Neutered,7,2/23/17,NORMAL,OWNER SURRENDER,132,0,2,13,1
CALICO,Spayed,10,2/23/17,NORMAL,OWNER SURRENDER,132,8,3,13,1
GRAY TABBY,Spayed,4,8/8/19,NORMAL,STRAY,132,16,3,13,3
TORTIE DIL,Spayed,11,4/7/21,NORMAL,OWNER SURRENDER,132,30,3,13,1
ORANGE,Neutered,12,4/7/21,NORMAL,STRAY,132,21,2,13,3
BLK SMOKE,Spayed,3,10/17/20,NORMAL,STRAY,131,1,3,13,3
GRAY TABBY,Neutered,2,6/6/21,NORMAL,STRAY,131,16,2,13,3
BRN TABBY,Spayed,2,8/31/21,NORMAL,STRAY,131,5,3,13,3
WHITE,Spayed,3,9/19/21,NORMAL,STRAY,131,32,3,13,3
ORG TABBY,Neutered,4,6/20/22,NORMAL,WELFARE SEIZED,131,22,2,13,4
BLACK,Spayed,8,3/31/23,NORMAL,OWNER SURRENDER,131,0,3,13,1
BLACK,Neutered,0,5/27/23,ILL MILD,STRAY,131,0,2,7,3
ORG TABBY,Neutered,0,6/7/23,UNDER AGE/WEIGHT,STRAY,131,22,2,14,3
BRN TIGER,Male,5,10/19/18,NORMAL,STRAY,130,6,1,13,3
BRN TABBY,Neutered,8,6/22/19,ILL MILD,STRAY,130,5,2,7,3
BRN TABBY,Spayed,10,11/15/17,ILL SEVERE,OWNER SURRENDER,129,5,3,9,1
TORTIE DIL,Spayed,11,9/6/17,NORMAL,CONFISCATE,128,30,3,13,0
BRN TABBY,Neutered,6,9/6/17,NORMAL,STRAY,128,5,2,13,3
WHITE,Neutered,10,10/18/17,NORMAL,STRAY,128,32,2,13,3
BLACK,Spayed,8,8/9/19,ILL MODERATETE,STRAY,128,0,3,8,3
BLACK,Neutered,4,8/21/19,UNDER AGE/WEIGHT,STRAY,128,0,2,14,3
ORG TABBY,Neutered,8,8/22/19,NORMAL,OWNER SURRENDER,128,22,2,13,1
BLACK,Neutered,2,8/4/21,NORMAL,STRAY,128,0,2,13,3
WHITE,Neutered,1,8/31/22,NORMAL,OWNER SURRENDER,128,32,2,13,1
BLACK,Neutered,2,10/4/22,INJURED  MODERATE,STRAY,128,0,2,11,3
BLACK,Spayed,1,11/23/22,NORMAL,STRAY,128,0,3,13,3
BLACK,Neutered,10,4/13/17,ILL MILD,STRAY,127,0,2,7,3
SNOWSHOE,Neutered,3,5/23/20,NORMAL,STRAY,127,26,2,13,3
BLACK,Neutered,1,4/2/22,UNDER AGE/WEIGHT,STRAY,127,0,2,14,3
TORTIE,Spayed,1,4/2/22,UNDER AGE/WEIGHT,STRAY,127,29,3,14,3
BLACK,Neutered,1,8/26/22,NORMAL,RETURN,127,0,2,13,2
