Type,Breed,Color,Sex,Size,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Outcome Type,Intake Condition,Outcome Condition,Age,Color_encoded,Sex_encoded,Intake Condition_encoded,Intake Type_encoded,Breed_encoded,Size_encoded
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,A418627,06/27/2023,10/03/2023,98,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,1,3,3,5,13,0
CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,A419845,08/22/2023,10/04/2023,43,STRAY,ADOPTION,TREATABLE/REHAB,TREATABLE/REHAB,0,26,2,2,5,13,3
CAT,DOMESTIC SH,GRAY,Neutered,SMALL,A344650,10/28/2016,11/17/2016,20,STRAY,ADOPTION,HEALTHY,HEALTHY,7,14,2,0,5,13,3
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,A412853,08/13/2022,09/10/2022,28,STRAY,ADOPTION,HEALTHY,HEALTHY,1,7,3,0,5,13,0
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,A418736,06/30/2023,08/15/2023,46,STRAY,ADOPTION,HEALTHY,HEALTHY,1,8,2,0,5,11,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A419450,08/03/2023,08/15/2023,12,STRAY,ADOPTION,HEALTHY,HEALTHY,0,15,2,0,5,13,0
CAT,DOMESTIC LH,BRN TABBY,Neutered,KITTN,A418239,06/13/2023,07/11/2023,28,STRAY,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,5,8,0
CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,A420268,09/09/2023,10/05/2023,26,QUARANTINE,RETURN TO OWNER,UNKNOWN,DEAD,-1,8,2,3,4,11,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A418625,06/27/2023,10/06/2023,101,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,1,2,3,5,13,0
CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,A420157,09/05/2023,10/06/2023,31,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,24,3,0,3,11,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A420379,09/13/2023,10/06/2023,23,STRAY,ADOPTION,HEALTHY,HEALTHY,0,0,2,0,5,13,0
CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,A420467,09/16/2023,10/06/2023,20,STRAY,ADOPTION,HEALTHY,HEALTHY,0,26,3,0,5,13,0
CAT,DOMESTIC MH,GRAY/WHITE,Spayed,SMALL,A420158,09/05/2023,10/07/2023,32,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,17,3,0,3,11,3
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,A420252,09/08/2023,10/07/2023,29,STRAY,ADOPTION,HEALTHY,HEALTHY,0,0,3,0,5,13,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A420131,09/02/2023,09/14/2023,12,STRAY,ADOPTION,TREATABLE/REHAB,TREATABLE/REHAB,0,0,2,2,5,13,0
CAT,DOMESTIC SH,GRAY,Spayed,KITTN,A418863,07/07/2023,08/17/2023,41,STRAY,ADOPTION,TREATABLE/REHAB,HEALTHY,0,14,3,2,5,13,0
CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,A420129,09/02/2023,09/14/2023,12,STRAY,ADOPTION,TREATABLE/REHAB,TREATABLE/REHAB,0,26,3,2,5,13,0
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,A314911,12/14/2014,01/16/2015,33,STRAY,ADOPTION,HEALTHY,HEALTHY,9,0,3,0,5,13,0
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,A355971,07/26/2017,08/04/2017,9,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,6,1,3,0,3,13,0
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A416917,08/11/2023,08/12/2023,1,ADOPTION RETURN,ADOPTION,HEALTHY,HEALTHY,0,1,2,0,0,13,0
CAT,DOMESTIC SH,WHITE/BLACK,Spayed,SMALL,A419227,07/22/2023,08/18/2023,27,STRAY,ADOPTION,HEALTHY,HEALTHY,0,26,3,0,5,13,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A416917,04/22/2023,08/04/2023,104,BORN HERE,ADOPTION,UNKNOWN,HEALTHY,0,1,2,3,1,13,0
CAT,DOMESTIC MH,WHITE/GRAY,Spayed,SMALL,A330945,12/16/2015,12/26/2015,10,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,11,28,3,0,3,11,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A418813,07/05/2023,08/19/2023,45,STRAY,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,5,13,0
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,A417951,06/01/2023,08/11/2023,71,STRAY,ADOPTION,HEALTHY,HEALTHY,8,8,3,0,5,13,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A418812,07/05/2023,08/19/2023,45,STRAY,ADOPTION,HEALTHY,HEALTHY,0,6,3,0,5,13,0
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,A419372,07/28/2023,08/19/2023,22,STRAY,ADOPTION,HEALTHY,HEALTHY,0,1,2,0,5,13,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A419040,07/14/2023,08/19/2023,36,STRAY,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,5,13,0
CAT,DOMESTIC SH,GRAY TABBY,Spayed,SMALL,A419849,08/22/2023,08/22/2023,0,STRAY,RETURN TO OWNER,UNKNOWN,PENDING,-1,15,3,3,5,13,3
CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,A419520,08/08/2023,08/22/2023,14,STRAY,RETURN TO OWNER,UNKNOWN,PENDING,5,20,2,3,5,13,3
CAT,DOMESTIC MH,WHITE/BLACK,Spayed,KITTN,A418375,06/16/2023,08/22/2023,67,STRAY,ADOPTION,HEALTHY,HEALTHY,0,26,3,0,5,11,0
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,A418722,08/16/2023,08/22/2023,6,ADOPTION RETURN,ADOPTION,UNKNOWN,HEALTHY,2,8,3,3,0,13,3
CAT,DOMESTIC MH,WHITE/BLACK,Neutered,KITTN,A418376,06/16/2023,08/22/2023,67,STRAY,ADOPTION,HEALTHY,HEALTHY,0,26,2,0,5,11,0
CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,A421030,10/08/2023,10/10/2023,2,STRAY,RETURN TO OWNER,UNKNOWN,HEALTHY,10,24,3,3,5,11,3
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,SMALL,A420076,08/31/2023,10/11/2023,41,STRAY,ADOPTION,HEALTHY,HEALTHY,4,1,2,0,5,11,3
CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,A420226,09/07/2023,10/11/2023,34,STRAY,ADOPTION,HEALTHY,HEALTHY,2,21,3,0,5,13,3
CAT,DOMESTIC MH,BLACK,Neutered,SMALL,A418390,08/12/2023,08/23/2023,11,ADOPTION RETURN,ADOPTION,HEALTHY,HEALTHY,3,0,2,0,0,11,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A419388,07/29/2023,08/23/2023,25,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,3,13,0
CAT,SIAMESE,SEAL PT,Neutered,SMALL,A419617,08/12/2023,08/23/2023,11,STRAY,ADOPTION,TREATABLE/REHAB,TREATABLE/REHAB,2,23,2,2,5,31,3
CAT,DOMESTIC SH,WHITE/BRN TABBY,Neutered,KITTN,A419385,07/29/2023,08/23/2023,25,STRAY,ADOPTION,HEALTHY,HEALTHY,0,27,2,0,5,13,0
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A419015,07/13/2023,08/23/2023,41,STRAY,ADOPTION,UNKNOWN,PENDING,0,1,2,3,5,13,0
CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,A419891,08/24/2023,08/24/2023,0,STRAY,RETURN TO OWNER,HEALTHY,HEALTHY,2,6,3,0,5,13,3
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,A413866,10/25/2022,12/27/2022,63,STRAY,ADOPTION,HEALTHY,HEALTHY,1,0,3,0,5,13,0
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A419012,07/13/2023,08/25/2023,43,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,0,2,3,5,13,0
CAT,DOMESTIC SH/MIX,BRN TABBY/WHITE,Spayed,KITTN,A420266,09/12/2023,10/13/2023,31,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,8,3,0,3,16,0
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,A418918,07/10/2023,08/26/2023,47,STRAY,ADOPTION,UNKNOWN,PENDING,0,8,2,3,5,13,0
CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,A419947,08/26/2023,08/26/2023,0,STRAY,RETURN TO OWNER,UNKNOWN,HEALTHY,1,24,3,3,5,13,3
CAT,DOMESTIC SH/MIX,BRN TABBY,Spayed,KITTN,A420265,09/12/2023,10/14/2023,32,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,6,3,0,3,16,0
CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,A420147,09/02/2023,10/14/2023,42,STRAY,ADOPTION,HEALTHY,HEALTHY,0,21,3,0,5,13,0
CAT,DOMESTIC SH,CALICO,Spayed,KITTN,A418592,06/24/2023,08/29/2023,66,STRAY,ADOPTION,HEALTHY,HEALTHY,0,11,3,0,5,13,0
CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,A374375,06/30/2018,07/07/2018,7,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,5,21,2,0,3,13,0
CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,A419607,08/12/2023,08/30/2023,18,STRAY,ADOPTION,UNKNOWN,PENDING,0,6,2,3,5,13,3
CAT,DOMESTIC LH,ORG TABBY/WHITE,Neutered,SMALL,A418994,07/12/2023,08/30/2023,49,STRAY,ADOPTION,HEALTHY,HEALTHY,3,22,2,0,5,8,3
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,A418624,06/27/2023,08/30/2023,64,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,8,2,3,5,13,0
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A419309,07/26/2023,08/31/2023,36,STRAY,ADOPTION,HEALTHY,HEALTHY,0,15,2,0,5,13,0
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A419311,07/26/2023,08/31/2023,36,STRAY,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,5,13,0
CAT,DOMESTIC SH,GRAY/WHITE,Male,SMALL,A420085,08/31/2023,09/01/2023,1,STRAY,RETURN TO OWNER,TREATABLE/REHAB,TREATABLE/REHAB,-1,17,1,2,5,13,3
CAT,DOMESTIC SH/MIX,BLACK,Spayed,KITTN,A420267,09/12/2023,10/17/2023,35,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,0,3,0,3,16,0
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,A420540,09/20/2023,10/13/2023,23,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,21,2,0,3,13,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A418402,08/31/2023,09/02/2023,2,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,3,13,0
CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,A418809,07/05/2023,09/02/2023,59,STRAY,ADOPTION,HEALTHY,HEALTHY,3,20,2,0,5,13,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A418879,07/07/2023,09/02/2023,57,STRAY,ADOPTION,HEALTHY,HEALTHY,0,15,2,0,5,13,0
CAT,DOMESTIC SH,CALICO,Spayed,KITTN,A419370,07/28/2023,09/05/2023,39,STRAY,ADOPTION,HEALTHY,HEALTHY,0,11,3,0,5,13,0
CAT,DOMESTIC SH,LYNX PT,Spayed,KITTN,A418641,06/28/2023,09/05/2023,69,STRAY,ADOPTION,HEALTHY,HEALTHY,0,18,3,0,5,13,0
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,A420542,09/20/2023,10/19/2023,29,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,21,2,0,3,13,3
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,A420541,09/20/2023,10/19/2023,29,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,21,2,0,3,13,3
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,A421046,10/10/2023,10/19/2023,9,STRAY,ADOPTION,HEALTHY,HEALTHY,1,17,2,0,5,13,3
CAT,DOMESTIC MH,BRN TABBY,Spayed,SMALL,A420805,09/30/2023,10/19/2023,19,STRAY,RETURN TO OWNER,TREATABLE/MANAGEABLE,TREATABLE/REHAB,16,6,3,1,5,11,3
CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,A419129,07/18/2023,09/06/2023,50,STRAY,ADOPTION,HEALTHY,HEALTHY,1,24,3,0,5,13,3
CAT,DOMESTIC LH,BRN TABBY/WHITE,Neutered,KITTN,A405511,06/21/2021,10/19/2021,120,STRAY,ADOPTION,UNKNOWN,HEALTHY,2,8,2,3,5,8,0
CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,A398037,06/19/2020,09/16/2020,89,STRAY,ADOPTION,TREATABLE/REHAB,HEALTHY,3,21,2,2,5,13,0
CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,A419845,10/07/2023,10/20/2023,13,ADOPTION RETURN,ADOPTION,TREATABLE/REHAB,TREATABLE/REHAB,0,26,2,2,0,13,3
CAT,DOMESTIC SH,BUFF,Spayed,SMALL,A417259,05/04/2023,09/07/2023,126,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,10,9,3,0,3,13,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,A418062,06/06/2023,09/08/2023,94,STRAY,ADOPTION,HEALTHY,HEALTHY,3,6,2,0,5,13,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,A419192,07/20/2023,09/09/2023,51,STRAY,ADOPTION,HEALTHY,HEALTHY,2,6,2,0,5,13,3
CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,A419002,07/13/2023,09/09/2023,58,STRAY,ADOPTION,HEALTHY,HEALTHY,0,6,3,0,5,13,3
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,A420719,09/27/2023,10/21/2023,24,STRAY,ADOPTION,HEALTHY,HEALTHY,1,1,2,0,5,13,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A420518,09/22/2023,10/21/2023,29,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,15,2,0,3,13,0
CAT,DOMESTIC SH,BRN TABBY,Male,SMALL,A421398,10/20/2023,10/21/2023,1,STRAY,RETURN TO OWNER,UNKNOWN,HEALTHY,0,6,1,3,5,13,3
CAT,DOMESTIC MH,BLACK/WHITE,Spayed,SMALL,A418435,06/20/2023,09/12/2023,84,QUARANTINE,ADOPTION,TREATABLE/REHAB,HEALTHY,8,1,3,2,4,11,3
CAT,DOMESTIC MH,ORG TABBY,Neutered,KITTN,A397965,06/18/2020,08/04/2020,47,STRAY,ADOPTION,HEALTHY,HEALTHY,3,21,2,0,5,11,0
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,A419456,08/03/2023,09/12/2023,40,STRAY,ADOPTION,HEALTHY,HEALTHY,0,0,3,0,5,13,0
CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,A419661,08/15/2023,09/13/2023,29,STRAY,ADOPTION,HEALTHY,HEALTHY,0,8,3,0,5,13,0
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,A419936,08/25/2023,09/14/2023,20,STRAY,ADOPTION,HEALTHY,HEALTHY,0,1,2,0,5,13,3
CAT,DOMESTIC MH,GRAY TABBY,Spayed,KITTN,A420300,09/10/2023,10/25/2023,45,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,15,3,3,5,11,0
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,SMALL,A276016,09/14/2023,09/15/2023,1,STRAY,RETURN TO OWNER,UNKNOWN,PENDING,13,17,2,3,5,13,3
CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,A419577,08/11/2023,09/15/2023,35,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,15,3,3,5,13,0
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A419576,08/11/2023,09/15/2023,35,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,6,3,3,5,13,0
CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,A420006,08/29/2023,09/15/2023,17,STRAY,ADOPTION,TREATABLE/MANAGEABLE,TREATABLE/MANAGEABLE,4,26,2,1,5,13,3
CAT,DOMESTIC SH,CALICO,Spayed,SMALL,A418218,06/13/2023,09/15/2023,94,STRAY,ADOPTION,UNKNOWN,HEALTHY,2,11,3,3,5,13,3
CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,A421083,10/10/2023,10/26/2023,16,STRAY,ADOPTION,HEALTHY,HEALTHY,0,21,2,0,5,13,3
CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,A419149,07/19/2023,09/16/2023,59,STRAY,ADOPTION,HEALTHY,HEALTHY,0,15,3,0,5,13,0
CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,KITTN,A419557,08/22/2023,09/16/2023,25,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,8,3,0,3,11,0
CAT,DOMESTIC SH,TORTIE,Spayed,KITTN,A418691,06/29/2023,09/16/2023,79,STRAY,ADOPTION,HEALTHY,HEALTHY,0,24,3,0,5,13,0
CAT,DOMESTIC MH,BRN TABBY/WHITE,Spayed,KITTN,A419558,08/22/2023,09/16/2023,25,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,8,3,0,3,11,0
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,A418626,06/27/2023,09/16/2023,81,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,1,3,3,5,13,0
CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,A420164,09/05/2023,10/27/2023,52,STRAY,ADOPTION,TREATABLE/REHAB,HEALTHY,0,8,2,2,5,13,0
CAT,DOMESTIC MH,BRN TABBY,Spayed,KITTN,A419669,08/15/2023,10/27/2023,73,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,6,3,3,5,11,0
CAT,DOMESTIC SH,BRN TABBY,Spayed,SMALL,A420332,09/12/2023,10/27/2023,45,STRAY,ADOPTION,HEALTHY,HEALTHY,1,6,3,0,5,13,3
CAT,DOMESTIC SH,BLACK,Neutered,KITTN,A420301,09/10/2023,10/27/2023,47,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,0,2,3,5,13,0
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A342290,09/10/2016,11/12/2016,63,STRAY,ADOPTION,TREATABLE/REHAB,HEALTHY,7,15,2,2,5,13,0
CAT,DOMESTIC MH,BLACK/WHITE,Neutered,KITTN,A420162,09/05/2023,10/27/2023,52,STRAY,ADOPTION,HEALTHY,HEALTHY,0,1,2,0,5,11,0
CAT,DOMESTIC LH,WHITE/BLACK,Neutered,SMALL,A421018,10/07/2023,10/27/2023,20,STRAY,ADOPTION,HEALTHY,HEALTHY,1,26,2,0,5,8,3
CAT,SIAMESE,SEAL PT,Spayed,SMALL,A419544,08/08/2023,09/19/2023,42,STRAY,ADOPTION,HEALTHY,HEALTHY,4,23,3,0,5,31,3
CAT,DOMESTIC SH,BUFF,Neutered,KITTN,A418688,06/29/2023,09/19/2023,82,STRAY,ADOPTION,HEALTHY,HEALTHY,0,9,2,0,5,13,0
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,A420269,09/09/2023,10/27/2023,48,CONFISCATE,ADOPTION,HEALTHY,HEALTHY,1,0,3,0,2,13,3
CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,A420168,09/05/2023,09/20/2023,15,STRAY,ADOPTION,HEALTHY,HEALTHY,0,15,2,0,5,13,0
CAT,DOMESTIC SH,BLACK,Spayed,KITTN,A420378,09/13/2023,10/28/2023,45,STRAY,ADOPTION,HEALTHY,HEALTHY,0,0,3,0,5,13,0
CAT,DOMESTIC MH,GRAY TABBY,Neutered,KITTN,A420729,09/27/2023,10/28/2023,31,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,15,2,0,3,11,0
CAT,DOMESTIC SH,BRN TABBY,Male,KITTN,A421478,10/25/2023,10/28/2023,3,STRAY,RETURN TO OWNER,UNKNOWN,PENDING,0,6,1,3,5,13,0
CAT,DOMESTIC MH,GRAY,Neutered,KITTN,A419308,07/26/2023,09/21/2023,57,STRAY,ADOPTION,TREATABLE/REHAB,HEALTHY,0,14,2,2,5,11,0
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A420093,09/01/2023,09/21/2023,20,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,1,2,0,3,13,0
CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,A419415,08/01/2023,09/21/2023,51,STRAY,ADOPTION,HEALTHY,HEALTHY,0,1,2,0,5,13,0
CAT,DOMESTIC SH,GRAY/WHITE,Neutered,KITTN,A420092,09/01/2023,09/22/2023,21,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,17,2,0,3,13,0
CAT,DOMESTIC SH,BUFF,Neutered,KITTN,A418687,06/29/2023,09/22/2023,85,STRAY,ADOPTION,HEALTHY,HEALTHY,0,9,2,0,5,13,0
CAT,DOMESTIC MH,ORG TABBY,Neutered,KITTN,A420728,09/27/2023,10/28/2023,31,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,21,2,0,3,11,0
CAT,DOMESTIC SH,BUFF,Spayed,KITTN,A418690,06/29/2023,09/22/2023,85,STRAY,ADOPTION,HEALTHY,HEALTHY,0,9,3,0,5,13,0
CAT,DOMESTIC LH,BLACK,Neutered,SMALL,A421576,10/30/2023,10/31/2023,1,STRAY,RETURN TO OWNER,UNTREATABLE,UNTREATABLE,15,0,2,4,5,8,3
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,A417808,05/25/2023,09/13/2023,111,STRAY,ADOPTION,HEALTHY,HEALTHY,2,0,3,0,5,13,3
CAT,DOMESTIC SH,BLACK,Neutered,SMALL,A420302,09/10/2023,10/31/2023,51,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,0,2,3,5,13,3
CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,A418895,07/08/2023,09/22/2023,76,STRAY,ADOPTION,HEALTHY,HEALTHY,0,7,3,0,5,13,0
CAT,DOMESTIC MH,BRN TABBY,Neutered,KITTN,A420725,09/27/2023,10/28/2023,31,OWNER SURRENDER,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,3,11,0
CAT,DOMESTIC SH,GRAY,Neutered,KITTN,A420299,09/10/2023,10/31/2023,51,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,14,2,3,5,13,0
CAT,DOMESTIC SH,BLACK/WHITE,Spayed,SMALL,A421475,10/25/2023,11/01/2023,7,STRAY,RETURN TO OWNER,UNKNOWN,PENDING,17,1,3,3,5,13,3
CAT,DOMESTIC LH,BUFF,Neutered,KITTN,A420238,09/07/2023,09/23/2023,16,STRAY,ADOPTION,HEALTHY,HEALTHY,0,9,2,0,5,8,0
CAT,DOMESTIC SH,GRAY TABBY,Spayed,KITTN,A375094,08/01/2018,09/27/2018,57,STRAY,ADOPTION,HEALTHY,HEALTHY,5,15,3,0,5,13,0
CAT,DOMESTIC SH,BLACK,Spayed,SMALL,A356226,07/28/2017,08/09/2017,12,STRAY,RETURN TO OWNER,UNKNOWN,TREATABLE/MANAGEABLE,-1,0,3,3,5,13,3
CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,A420936,10/05/2023,11/01/2023,27,STRAY,ADOPTION,HEALTHY,HEALTHY,2,24,3,0,5,13,3
CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,A419420,08/01/2023,09/26/2023,56,STRAY,ADOPTION,HEALTHY,HEALTHY,0,6,2,0,5,13,0
CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,A418628,06/27/2023,09/26/2023,91,STRAY,ADOPTION,UNKNOWN,HEALTHY,0,6,3,3,5,13,0
