Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color
A681907,Tortilla,06/28/2014 06:52:00 PM,Jun 2014,04/21/2014,Adoption,,Cat,Intact Female,2 months,Siamese Mix,Tortie Point
A795465,,06/01/2019 10:03:00 PM,Jun 2019,03/20/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Black
A808052,*Oreo,12/03/2019 04:46:00 PM,Dec 2019,08/19/2019,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Black/White
A823494,*Macaroni,11/03/2020 09:13:00 AM,Nov 2020,08/17/2020,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White
A760496,*Marco Polo,12/30/2017 03:44:00 PM,Dec 2017,08/19/2017,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Brown Tabby/White
A822928,*Primrose,01/24/2022 11:49:00 AM,Jan 2022,09/15/2010,Adoption,Foster,Cat,Spayed Female,11 years,Domestic Shorthair,Torbie
A736523,*Clementina,11/03/2016 12:35:00 PM,Nov 2016,10/12/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A749348,*Toby,07/12/2017 09:48:00 AM,Jul 2017,05/04/2017,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
A678083,*Aspen,07/12/2014 03:57:00 PM,Jul 2014,04/03/2014,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A812889,Tutti,02/01/2020 01:23:00 PM,Feb 2020,10/15/2019,Adoption,,Cat,Intact Female,3 months,Domestic Longhair,Black/White
A852822,*Dreamsicle,03/21/2022 01:38:00 PM,Mar 2022,03/08/2020,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair,Orange Tabby
A794634,Diamond,07/11/2019 04:09:00 PM,Jul 2019,04/10/2019,Adoption,,Cat,Spayed Female,3 months,Siamese,Lynx Point
A715807,*Franz,01/15/2016 04:59:00 PM,Jan 2016,08/10/2015,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A793307,,04/24/2019 04:24:00 PM,Apr 2019,01/23/2019,Adoption,,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point/White
A805212,Turtle,10/22/2019 05:19:00 PM,Oct 2019,11/24/2018,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,Tortie
A686100,,08/20/2014 05:17:00 PM,Aug 2014,06/16/2014,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A801848,*Kit,09/26/2019 07:07:00 PM,Sep 2019,07/10/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby
A832511,*Theodosia,05/25/2021 12:13:00 PM,May 2021,04/14/2019,Adoption,,Cat,Spayed Female,2 years,Siamese Mix,Chocolate Point
A817291,*Sunny,08/08/2020 08:43:00 AM,Aug 2020,04/19/2020,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Brown Tabby
A778049,*Davey,08/18/2018 02:46:00 PM,Aug 2018,02/07/2018,Adoption,,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
A843687,A843687,10/12/2021 05:49:00 PM,Oct 2021,07/05/2021,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair,Gray Tabby
A805358,Ashanti,09/27/2019 05:44:00 PM,Sep 2019,07/10/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Calico
A819251,,08/04/2020 02:42:00 PM,Aug 2020,04/28/2020,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Longhair Mix,Torbie
A791765,,06/22/2019 08:38:00 AM,Jun 2019,03/30/2019,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby
A677835,*Suzette,07/12/2014 11:41:00 AM,Jul 2014,04/29/2013,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
A749460,*Sweetheart,07/17/2017 04:35:00 PM,Jul 2017,11/15/2015,Adoption,,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Blue/White
A817618,Pepper,06/24/2020 10:19:00 AM,Jun 2020,04/13/2020,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Blue/White
A685214,Truffles,08/26/2014 05:22:00 PM,Aug 2014,06/27/2014,Adoption,,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Calico
A755439,*Jasper,09/15/2017 03:14:00 PM,Sep 2017,07/21/2017,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Brown Tabby/White
A777109,Bacon,08/18/2018 09:19:00 AM,Aug 2018,06/23/2017,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby
A734403,Jorgie,10/22/2016 12:31:00 PM,Oct 2016,08/12/2016,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A778716,Anastasia,11/24/2018 06:55:00 PM,Nov 2018,07/17/2018,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby
A775399,Bean Sprout,07/07/2018 05:03:00 PM,Jul 2018,03/29/2018,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
A882443,Anakin,06/13/2023 04:44:00 PM,Jun 2023,04/05/2023,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,White/Black
A738584,*Lydia,12/04/2016 05:10:00 PM,Dec 2016,05/17/2016,Adoption,,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Black/White
A731663,*Onyx,09/14/2016 02:13:00 PM,Sep 2016,06/29/2016,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
A723585,*Pee Wee,09/30/2016 01:16:00 PM,Sep 2016,02/19/2016,Adoption,Foster,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Black
A679572,*Beau,06/19/2014 06:13:00 PM,Jun 2014,04/23/2014,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Medium Hair Mix,Brown Tabby
A729694,,07/09/2016 12:35:00 PM,Jul 2016,04/03/2016,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Torbie
A671534,Stella,03/31/2014 06:14:00 PM,Mar 2014,01/26/2013,Adoption,,Cat,Spayed Female,1 year,Snowshoe,Seal Point/White
A681352,*Charlotte,07/12/2014 07:46:00 PM,Jul 2014,04/30/2014,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue Tabby
A710363,*Wilma,08/30/2015 06:06:00 PM,Aug 2015,04/22/2015,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico
A817585,,07/25/2020 10:19:00 AM,Jul 2020,04/13/2020,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair,Orange Tabby
A881428,Severus,06/13/2023 04:02:00 PM,Jun 2023,03/22/2023,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White
A781349,,10/01/2018 05:24:00 PM,Oct 2018,07/27/2018,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Brown Tabby
A880170,*Pikachu,09/16/2023 01:45:00 PM,Sep 2023,04/11/2023,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair,White/Black
A733559,*Guacamole,10/02/2016 05:46:00 PM,Oct 2016,07/24/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A797709,Bandit,06/23/2019 05:50:00 PM,Jun 2019,05/02/2019,Adoption,,Cat,Intact Female,1 month,Domestic Shorthair,Brown Tabby/White
A825520,,12/19/2020 10:04:00 AM,Dec 2020,10/19/2020,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Calico
A749224,,05/16/2017 06:48:00 PM,May 2017,02/25/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
A725558,*Bailey,01/17/2017 09:13:00 AM,Jan 2017,04/30/2013,Adoption,Foster,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Brown Tabby
A837869,Geralt,07/07/2021 01:40:00 PM,Jul 2021,06/30/2017,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair,White/Cream Tabby
A729013,,06/29/2016 04:25:00 PM,Jun 2016,04/12/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue/White
A749464,*Kathy,06/20/2017 05:37:00 PM,Jun 2017,04/23/2017,Adoption,,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Black
A582945,Nina,12/17/2013 11:51:00 AM,Dec 2013,09/03/2006,Adoption,,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Brown Tabby
A576705,Blue,10/23/2015 03:55:00 PM,Oct 2015,03/18/2010,Adoption,,Cat,Neutered Male,5 years,Siamese Mix,Lynx Point
A747649,,04/26/2017 05:39:00 PM,Apr 2017,02/22/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange
A752425,*Clark,07/02/2017 04:05:00 PM,Jul 2017,04/07/2017,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
A669594,*Bunny,01/21/2014 06:34:00 PM,Jan 2014,11/23/2013,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Medium Hair Mix,Black
A818339,Scurvy,08/14/2020 12:00:00 AM,Aug 2020,06/05/2017,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,Brown Tabby/White
A734034,,09/04/2016 05:44:00 PM,Sep 2016,05/01/2016,Adoption,,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Orange Tabby
A838402,Ginger,07/20/2021 04:15:00 PM,Jul 2021,03/31/2021,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Torbie/White
A824299,*Sakura,01/29/2021 11:40:00 AM,Jan 2021,10/10/2019,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby
A667475,*Lovie,12/17/2013 05:08:00 PM,Dec 2013,11/30/2008,Adoption,,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Brown Tabby/White
A824740,,12/18/2020 07:55:00 AM,Dec 2020,09/15/2020,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby/White
A766628,Indison Jame,02/18/2018 03:21:00 PM,Feb 2018,02/13/2016,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Orange Tabby/White
A783322,*Flynn,11/04/2018 03:39:00 PM,Nov 2018,10/29/2015,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue Tabby
A763747,*Louise,12/21/2017 06:41:00 PM,Dec 2017,06/15/2016,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Gray/White
A668178,*Owen,01/02/2014 06:37:00 PM,Jan 2014,11/09/2013,Adoption,Foster,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Blue
A702403,Harvey,06/14/2015 12:57:00 PM,Jun 2015,04/06/2015,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A732061,*Otto,01/28/2018 05:50:00 PM,Jan 2018,08/01/2014,Adoption,,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Brown Tabby/White
A840112,Cuddle Bug,08/11/2021 12:49:00 PM,Aug 2021,04/02/2013,Adoption,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Blue/White
A733502,*Sanya,01/29/2017 03:08:00 PM,Jan 2017,06/22/2016,Adoption,,Cat,Spayed Female,7 months,Domestic Medium Hair Mix,Black
A752358,Juno,06/27/2017 04:50:00 PM,Jun 2017,04/21/2017,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
A753537,Bronx,06/26/2021 01:42:00 PM,Jun 2021,06/14/2017,Adoption,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Brown Tabby/White
A839344,*Floretta,08/27/2021 05:58:00 PM,Aug 2021,04/20/2021,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair,Black
A794895,,05/17/2019 04:03:00 PM,May 2019,02/26/2019,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair,Gray Tabby/White
A856357,*Manon,06/09/2022 09:08:00 AM,Jun 2022,03/27/2022,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A791983,*Spice,07/09/2019 07:09:00 PM,Jul 2019,04/01/2019,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
A792559,*Giulia,06/29/2019 05:22:00 PM,Jun 2019,04/10/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Orange Tabby/White
A803143,Aria,09/01/2019 05:00:00 PM,Sep 2019,06/28/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A772223,,05/26/2018 04:24:00 PM,May 2018,03/16/2018,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
A699227,*Caitlyn,08/25/2015 09:45:00 AM,Aug 2015,03/23/2015,Adoption,Foster,Cat,Spayed Female,5 months,Domestic Medium Hair Mix,Cream Tabby/White
A845878,*Bruce,01/19/2022 03:25:00 PM,Jan 2022,10/05/2021,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Blue
A765537,Godzilla,07/02/2018 05:22:00 PM,Jul 2018,01/22/2014,Adoption,Foster,Cat,Neutered Male,4 years,Domestic Longhair Mix,White/Brown Tabby
A714862,*Peachy,11/28/2015 06:27:00 PM,Nov 2015,08/02/2015,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A794195,Bentley,05/08/2019 05:43:00 PM,May 2019,02/04/2019,Adoption,,Cat,Neutered Male,3 months,Siamese Mix,Flame Point
A882078,Kaminski,06/13/2023 06:22:00 PM,Jun 2023,03/03/2023,Adoption,,Cat,Neutered Male,3 months,Russian Blue,Blue
A855780,*Sugar Ray,05/10/2022 06:41:00 PM,May 2022,04/22/2019,Adoption,,Cat,Neutered Male,3 years,Domestic Shorthair,White/Brown Tabby
A813613,*Kaapo,03/14/2020 12:10:00 PM,Mar 2020,02/14/2018,Adoption,,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue
A829248,,03/04/2021 09:09:00 AM,Mar 2021,09/09/2020,Adoption,Foster,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Blue/White
A675675,,07/26/2014 02:31:00 PM,Jul 2014,03/03/2014,Adoption,Foster,Cat,Spayed Female,4 months,Snowshoe Mix,Chocolate Point
A682683,*Nadia,07/16/2014 05:44:00 PM,Jul 2014,05/17/2014,Adoption,,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Black/White
A864870,*Monaka,10/05/2022 03:17:00 PM,Oct 2022,05/01/2022,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,White/Black
A757442,*Emma,09/07/2017 01:04:00 PM,Sep 2017,05/17/2017,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Blue
A840956,A840956,08/20/2021 05:33:00 PM,Aug 2021,03/10/2021,Adoption,,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black
A794662,Sam,01/27/2022 12:41:00 PM,Jan 2022,05/10/2016,Adoption,Foster,Cat,Neutered Male,5 years,Domestic Shorthair,Brown Tabby/White
A729191,*Mr. Jones,07/17/2016 05:13:00 PM,Jul 2016,05/14/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
A738723,*Celene,12/09/2016 09:20:00 AM,Dec 2016,10/11/2016,Adoption,Foster,Cat,Spayed Female,1 month,Domestic Shorthair,Tortie
A727613,,06/30/2016 05:15:00 PM,Jun 2016,03/23/2016,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Torbie
A798956,Lola,08/12/2019 04:01:00 PM,Aug 2019,05/02/2019,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Black
A687756,Luna,09/12/2014 12:33:00 PM,Sep 2014,06/29/2014,Adoption,,Cat,Spayed Female,2 months,Siamese Mix,Lynx Point
A776657,Margarita,10/09/2018 11:29:00 AM,Oct 2018,06/10/2018,Adoption,Foster,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
A701885,Jax,05/22/2015 07:17:00 PM,May 2015,05/05/2014,Adoption,,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
A808988,,11/26/2019 05:33:00 PM,Nov 2019,09/09/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby
A803123,Gizmo,09/01/2019 03:33:00 PM,Sep 2019,06/12/2019,Adoption,,Cat,Intact Male,2 months,Domestic Shorthair,Black/White
A666077,Sabrina,02/01/2014 05:59:00 PM,Feb 2014,08/11/2013,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair Mix,Black
A706459,Furiosa,08/15/2015 06:46:00 PM,Aug 2015,04/14/2015,Adoption,,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Blue Tabby
A819044,*Oliver,08/27/2020 10:43:00 AM,Aug 2020,04/28/2020,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Orange Tabby/White
A737585,Snickers,12/09/2016 06:45:00 PM,Dec 2016,09/01/2016,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Blue/White
A819299,*Turkey Lurkey,08/07/2020 02:36:00 PM,Aug 2020,05/25/2020,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A741991,Styx,01/16/2017 05:22:00 PM,Jan 2017,10/28/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black
A681346,*Jon Snow,06/29/2014 03:48:00 PM,Jun 2014,03/24/2014,Adoption,,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
A806164,Maya,10/16/2019 06:10:00 PM,Oct 2019,07/29/2019,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby/White
A721240,*Burt,05/01/2016 12:44:00 PM,May 2016,02/16/2016,Adoption,,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
A804098,*Rosita,10/07/2019 05:45:00 PM,Oct 2019,04/10/2019,Adoption,,Cat,Spayed Female,5 months,Domestic Shorthair,Black/White
A697847,Randalls Cub,03/15/2015 01:57:00 PM,Mar 2015,03/02/2014,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black
A881664,Ollie,06/13/2023 06:32:00 PM,Jun 2023,03/25/2023,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black
A747337,,07/12/2017 11:08:00 AM,Jul 2017,04/15/2017,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
