Name,Type,Breed,Color,Sex,Size,Date Of Birth,Impound Number,Kennel Number,Animal ID,Intake Date,Outcome Date,Days in Shelter,Intake Type,Intake Subtype,Outcome Type,Outcome Subtype,Intake Condition,Outcome Condition,Intake Jurisdiction,Outcome Jurisdiction,Outcome Zip Code,Location,Count
SNOWY,CAT,SIAMESE/MIX,LYNX PT,Neutered,KITTN,05/13/2023,K23-045985,LOBBY,A420264,09/12/2023,09/30/2023,18,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95492,"95492(38.541355, -122.80026)",1
*ULI,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,07/13/2023,K23-045592,CA03,A419416,08/01/2023,09/30/2023,60,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95492,"95492(38.541355, -122.80026)",1
*SADEE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,KITTN,07/13/2023,K23-045590,LOBBY,A419414,09/12/2023,09/30/2023,18,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*MAXWELL,CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,08/30/2021,K23-045749,CA02,A419755,08/17/2023,09/30/2023,44,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94901,"94901(37.9702346, -122.5260879)",1
*RUSSELL,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,07/07/2023,K23-045970,LOBBY,A420237,09/07/2023,09/30/2023,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*RABBIT,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,03/03/2023,K23-045165,LOBBY,A418629,06/27/2023,08/11/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1
*SULTAN,CAT,DOMESTIC MH,BLACK,Neutered,SMALL,06/22/2020,K23-045077,CA02,A418390,06/17/2023,08/11/2023,55,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.47164440000006, -122.7398255)",1
*VOLT,CAT,DOMESTIC MH,GRAY,Neutered,KITTN,05/08/2023,K23-045316,LOBBY,A418894,07/08/2023,08/11/2023,34,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95448,"95448(38.613965, -122.869825)",1
KORAT,CAT,DOMESTIC SH,GRAY,Neutered,SMALL,09/04/2016,K16-021381,LOBBY,A344650,10/28/2016,11/17/2016,20,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
NEFERTARI,CAT,DOMESTIC SH,BRN TABBY/TORTIE,Spayed,KITTN,05/17/2022,K22-042238,LOBBY,A412853,08/13/2022,09/10/2022,28,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*OLIVE,CAT,DOMESTIC SH,GRAY TABBY/BLUE CREAM,Spayed,KITTN,07/05/2023,K23-045937,LOBBY,A420169,09/05/2023,10/03/2023,28,STRAY,FIELD,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,94533,"94533(38.251455, -122.045375)",1
*BOB,CAT,ABYSSINIAN/DOMESTIC SH,AGOUTI/BRN TABBY,Neutered,SMALL,07/19/2021,K23-045111,LOBBY,A418471,06/21/2023,08/15/2023,55,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*MIRT,CAT,DOMESTIC MH,BRN TABBY/WHITE,Neutered,SMALL,06/30/2022,K23-045224,CA02,A418736,06/30/2023,08/15/2023,46,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*MONU,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,04/03/2023,K23-045615,LOBBY,A419450,08/03/2023,08/15/2023,12,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1
WOLFIE,CAT,DOMESTIC LH,BRN TABBY,Neutered,KITTN,04/29/2023,K23-045022,LOBBY,A418239,06/13/2023,07/11/2023,28,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95425,"95425(38.79895, -123.01762)",1
*PEPE,CAT,DOMESTIC LH,BLACK/WHITE,Neutered,KITTN,05/26/2023,K23-045856,LOBBY,A420042,08/30/2023,10/03/2023,34,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95403,"95403(38.4716444, -122.7398255)",1
*DIANA,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,06/26/2023,K23-045163,LOBBY,A418627,06/27/2023,10/03/2023,98,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.503755, -122.993485)",1
*BOO,CAT,DOMESTIC SH,WHITE/BLACK,Neutered,SMALL,03/06/2023,K23-045787,CA02,A419845,08/22/2023,10/04/2023,43,STRAY,PHONE,ADOPTION,REFERRAL-F,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1
*LESLIE,CAT,DOMESTIC SH,GRAY,Spayed,KITTN,05/31/2023,K23-045306,LOBBY,A418863,07/07/2023,08/17/2023,41,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
FRENCHIE,CAT,DOMESTIC SH,BLACK/WHITE,Spayed,KITTN,05/26/2017,K17-024558,LOBBY,A355971,07/26/2017,08/04/2017,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
CARMEN,CAT,DOMESTIC SH,TORTIE/WHITE,Spayed,KITTN,05/11/2017,K17-024572,LOBBY,A355986,07/26/2017,08/04/2017,9,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
NODDY,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,07/13/2014,K14-012078,LOBBY,A314911,12/14/2014,01/16/2015,33,STRAY,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
MAVERICK,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/04/2023,K23-045696,LOBBY,A416917,08/11/2023,08/12/2023,1,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*COTATI,94931,"94931(38.3260186, -122.706422)",1
OREO,CAT,DOMESTIC SH,WHITE/BLACK,Spayed,SMALL,02/22/2023,K23-045485,LOBBY,A419227,07/22/2023,08/18/2023,27,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95448,"95448(38.613965, -122.869825)",1
*QUINTIN,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,06/26/2023,K23-045161,LOBBY,A418625,06/27/2023,10/06/2023,101,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
MAVERICK,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,05/04/2023,K23-044465,WESTFARM,A416917,04/22/2023,08/04/2023,104,BORN HERE,MOM STRAY,ADOPTION,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1
*WILLA,CAT,DOMESTIC MH,TORTIE,Spayed,SMALL,03/25/2023,K23-045923,CA02,A420157,09/05/2023,10/06/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
*MAGNUM,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,07/13/2023,K23-046059,LOBBY,A420379,09/13/2023,10/06/2023,23,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*ANNIE,CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,08/01/2023,K23-046125,CA03,A420467,09/16/2023,10/06/2023,20,STRAY,PHONE,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,COUNTY,95436,"95436(38.47872, -122.890155)",1
AUGGIE,CAT,DOMESTIC MH,WHITE/GRAY,Spayed,SMALL,12/16/2011,K15-017166,CS04,A330945,12/16/2015,12/26/2015,10,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*SONNY,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,03/15/2023,K23-045278,LOBBY,A418813,07/05/2023,08/19/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*BLANCHE,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,08/11/2015,K23-044901,CA02,A417951,06/01/2023,08/11/2023,71,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95409,"95409(38.46382, -122.67058)",1
*CHER,CAT,DOMESTIC SH,BRN TABBY,Spayed,KITTN,05/31/2023,K23-045277,LOBBY,A418812,07/05/2023,08/19/2023,45,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*GLIZZY,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,SMALL,04/28/2023,K23-045556,LOBBY,A419372,07/28/2023,08/19/2023,22,STRAY,FIELD,ADOPTION,VOLUNTEER,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1
*MURRAY,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/15/2023,K23-045399,LOBBY,A419040,07/14/2023,08/19/2023,36,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*LACY,CAT,DOMESTIC MH,GRAY/WHITE,Spayed,SMALL,04/05/2023,K23-045924,CA02,A420158,09/05/2023,10/07/2023,32,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*BINDI,CAT,DOMESTIC SH,BLACK,Spayed,SMALL,03/08/2023,K23-045979,CS05,A420252,09/08/2023,10/07/2023,29,STRAY,OVER THE COUNTER,ADOPTION,FINDER,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1
,CAT,DOMESTIC SH,WHITE/BLACK,Spayed,KITTN,06/17/2023,K23-045901,FOSTER,A420129,09/02/2023,09/14/2023,12,STRAY,OVER THE COUNTER,ADOPTION,VOLUNTEER,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95404,"95404(38.44511, -122.708)",1
*REBA,CAT,DOMESTIC SH,TORTIE/WHITE,Spayed,SMALL,09/10/2021,K23-046010,CA02,A420297,09/10/2023,10/07/2023,27,CONFISCATE,FIELD,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,05/30/2023,K23-045902,FOSTER,A420131,09/02/2023,09/14/2023,12,STRAY,OVER THE COUNTER,ADOPTION,VOLUNTEER,TREATABLE/REHAB,TREATABLE/REHAB,SANTA ROSA,COUNTY,95404,"95404(38.44511, -122.708)",1
*GALA,CAT,DOMESTIC MH,WHITE/BLACK,Spayed,KITTN,04/16/2023,K23-045066,LOBBY,A418375,06/16/2023,08/22/2023,67,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95439,"95439(38.4901851, -122.7701347)",1
*LOLLY,CAT,DOMESTIC SH,BRN TABBY/WHITE,Spayed,SMALL,06/29/2021,K23-045726,CA02,A418722,08/16/2023,08/22/2023,6,ADOPTION RETURN,FIELD,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,COUNTY,95446,"95446(38.503755, -122.993485)",1
*MET,CAT,DOMESTIC MH,WHITE/BLACK,Neutered,KITTN,04/16/2023,K23-045067,LOBBY,A418376,06/16/2023,08/22/2023,67,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95439,"95439(38.4901851, -122.7701347)",1
*SULTAN,CAT,DOMESTIC MH,BLACK,Neutered,SMALL,06/22/2020,K23-045703,CA02,A418390,08/12/2023,08/23/2023,11,ADOPTION RETURN,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95441,"95441(38.70854, -122.90737)",1
*LUTE,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/14/2023,K23-045566,CA02,A419388,07/29/2023,08/23/2023,25,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95973,"95973(39.76795, -121.82613)",1
*MOCHI,CAT,SIAMESE,SEAL PT,Neutered,SMALL,08/12/2021,K23-045704,CS05,A419617,08/12/2023,08/23/2023,11,STRAY,OVER THE COUNTER,ADOPTION,FINDER,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,COUNTY,94922,"94922(38.3468283, -122.9728609)",1
*MARTIN,CAT,DOMESTIC SH,WHITE/BRN TABBY,Neutered,KITTN,05/29/2023,K23-045563,LOBBY,A419385,07/29/2023,08/23/2023,25,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
ROOSTER,CAT,DOMESTIC SH,BLACK/WHITE,Neutered,KITTN,06/19/2023,K23-045390,CA03,A419015,07/13/2023,08/23/2023,41,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,PENDING,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
KIKI,CAT,DOMESTIC SH,BLACK,Spayed,KITTN,07/14/2022,K22-042942,LOBBY,A413866,10/25/2022,12/27/2022,63,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95425,"95425(38.79895, -123.01762)",1
*CHAZ,CAT,DOMESTIC MH,BLACK/WHITE,Neutered,SMALL,08/31/2019,K23-045863,CA02,A420076,08/31/2023,10/11/2023,41,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,OUT OF COUNTY,95467,"95467(38.7929242, -122.5490357)",1
*TAMMY,CAT,DOMESTIC SH,ORG TABBY,Spayed,SMALL,09/07/2021,K23-045966,CA02,A420226,09/07/2023,10/11/2023,34,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95405,"95405(38.443415, -122.69178)",1
GOOSE,CAT,DOMESTIC SH,BLACK,Neutered,KITTN,06/19/2023,K23-045389,LOBBY,A419012,07/13/2023,08/25/2023,43,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1
*BISCUIT,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,01/10/2023,K23-045330,CA02,A418918,07/10/2023,08/26/2023,47,STRAY,FIELD,ADOPTION,OTH_MEDIA,UNKNOWN,PENDING,SANTA ROSA,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*PEBBLES,CAT,DOMESTIC SH,CALICO,Spayed,KITTN,05/17/2023,K23-045143,CA02,A418592,06/24/2023,08/29/2023,66,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
ORANGE JUICE,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,04/30/2018,K18-028872,LOBBY,A374375,06/30/2018,07/07/2018,7,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.34933, -122.69228)",1
OREO,CAT,DOMESTIC SH/MIX,BRN TABBY/WHITE,Spayed,KITTN,06/15/2023,K23-045987,CA02,A420266,09/12/2023,10/13/2023,31,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
MILKY,CAT,DOMESTIC SH/MIX,BRN TABBY,Spayed,KITTN,06/15/2023,K23-045986,CA02,A420265,09/12/2023,10/14/2023,32,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*GINGER,CAT,DOMESTIC SH,ORG TABBY,Spayed,KITTN,04/02/2023,K23-045915,CA02,A420147,09/02/2023,10/14/2023,42,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,*ROHNERT PARK,94928,"94928(38.34933, -122.69228)",1
*GEO,CAT,DOMESTIC SH,BRN TABBY,Neutered,SMALL,02/12/2023,K23-045702,CA02,A419607,08/12/2023,08/30/2023,18,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,UNKNOWN,PENDING,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*POPEYE,CAT,DOMESTIC LH,ORG TABBY/WHITE,Neutered,SMALL,07/26/2020,K23-045378,CA02,A418994,07/12/2023,08/30/2023,49,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*ALEXANDER,CAT,DOMESTIC SH,BRN TABBY/WHITE,Neutered,KITTN,06/25/2023,K23-045160,LOBBY,A418624,06/27/2023,08/30/2023,64,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
*TOM,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,06/26/2023,K23-045521,LOBBY,A419309,07/26/2023,08/31/2023,36,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*JERRY,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,06/26/2023,K23-045523,LOBBY,A419311,07/26/2023,08/31/2023,36,STRAY,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95404,"95404(38.44511, -122.708)",1
*SQUEAKER,CAT,DOMESTIC SH,BRN TABBY,Neutered,KITTN,04/20/2023,K23-045864,LOBBY,A418402,08/31/2023,09/02/2023,2,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,,94131,"94131(37.739245, -122.4329208)",1
*GARFIELD,CAT,DOMESTIC SH,ORANGE/WHITE,Neutered,SMALL,07/05/2020,K23-045274,CA02,A418809,07/05/2023,09/02/2023,59,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
*COOK,CAT,DOMESTIC SH,GRAY TABBY,Neutered,KITTN,04/25/2023,K23-045309,CA02,A418879,07/07/2023,09/02/2023,57,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,COUNTY,95472,"95472(38.4007555, -122.8277055)",1
*DAISY BEANS,CAT,DOMESTIC SH,CALICO,Spayed,KITTN,04/28/2023,K23-045554,LOBBY,A419370,07/28/2023,09/05/2023,39,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95401,"95401(38.44366, -122.7246163)",1
*MONA,CAT,DOMESTIC SH,LYNX PT,Spayed,KITTN,05/01/2023,K23-045169,LOBBY,A418641,06/28/2023,09/05/2023,69,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95403,"95403(38.4716444, -122.7398255)",1
MOON,CAT,DOMESTIC SH/MIX,BLACK,Spayed,KITTN,06/15/2023,K23-045988,CA02,A420267,09/12/2023,10/17/2023,35,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*ROHNERT PARK,94928,"94928(38.34933, -122.69228)",1
*MA CHERIE,CAT,DOMESTIC MH,TORTIE/GRAY,Spayed,SMALL,06/29/2020,K23-045194,FOSTER,A418685,06/29/2023,10/17/2023,110,STRAY,OVER THE COUNTER,ADOPTION,REFERRAL-F,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95425,"95425(38.79895, -123.01762)",1
*BILL,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,07/20/2023,K23-046159,LOBBY,A420540,09/20/2023,10/13/2023,23,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,COUNTY,95404,"95404(38.44511, -122.708)",0
*PAIGE,CAT,DOMESTIC SH,TORTIE,Spayed,SMALL,07/18/2022,K23-045441,CA02,A419129,07/18/2023,09/06/2023,50,STRAY,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,COUNTY,*WINDSOR,95492,"95492(38.541355, -122.80026)",1
ODIN,CAT,DOMESTIC LH,BRN TABBY/WHITE,Neutered,KITTN,05/12/2021,K21-038861,CI01,A405511,06/21/2021,10/19/2021,120,STRAY,FIELD,ADOPTION,VOLUNTEER,UNKNOWN,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
MI-DEL,CAT,DOMESTIC SH,ORG TABBY,Neutered,KITTN,05/01/2020,K20-036020,TX,A398037,06/19/2020,09/16/2020,89,STRAY,PHONE,ADOPTION,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",1
*RUFUS,CAT,DOMESTIC SH,ORG TABBY,Neutered,SMALL,07/27/2023,K23-046161,LOBBY,A420542,09/20/2023,10/19/2023,29,OWNER SURRENDER,OVER THE COUNTER,ADOPTION,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,SANTA ROSA,95407,"95407(38.4127094, -122.7412153)",0
