simplified_color,simplified_sex,age,simplified_condition,simplified_type,days_stayed,simplified_color_encoded,simplified_sex_encoded,simplified_condition_encoded,simplified_type_encoded
GRAY,FEMALE,6,NORMAL,OWNER SURRENDER,12,1,0,3,1
TABBY,FEMALE,5,UNDER WEIGHT,STRAY,254,3,0,5,2
OTHER,FEMALE,8,NORMAL,STRAY,35,2,0,3,2
TABBY,FEMALE,5,UNDER WEIGHT,STRAY,28,3,0,5,2
BLACK,FEMALE,5,NORMAL,STRAY,11,0,0,3,2
TABBY,FEMALE,5,NORMAL,STRAY,65,3,0,3,2
TABBY,MALE,5,NORMAL,STRAY,84,3,1,3,2
TABBY,MALE,5,NORMAL,STRAY,7,3,1,3,2
GRAY,MALE,6,NORMAL,OTHER,25,1,1,3,0
TABBY,MALE,10,NORMAL,OWNER SURRENDER,82,3,1,3,1
TABBY,MALE,5,ILL MILD,STRAY,80,3,1,0,2
TABBY,MALE,12,INJURED,STRAY,25,3,1,2,2
BLACK,MALE,5,NORMAL,STRAY,102,0,1,3,2
TABBY,MALE,5,NORMAL,STRAY,102,3,1,3,2
TABBY,MALE,5,NORMAL,STRAY,86,3,1,3,2
OTHER,FEMALE,5,UNDER WEIGHT,STRAY,59,2,0,5,2
TABBY,FEMALE,8,NORMAL,STRAY,91,3,0,3,2
TABBY,FEMALE,5,NORMAL,STRAY,38,3,0,3,2
OTHER,FEMALE,8,NORMAL,STRAY,2,2,0,3,2
TABBY,FEMALE,5,NORMAL,STRAY,99,3,0,3,2
BLACK,MALE,5,NORMAL,STRAY,21,0,1,3,2
OTHER,FEMALE,5,NORMAL,STRAY,24,2,0,3,2
OTHER,MALE,6,ILL MILD,STRAY,60,2,1,0,2
BLACK,MALE,5,UNDER WEIGHT,STRAY,59,0,1,5,2
TABBY,FEMALE,5,NORMAL,STRAY,19,3,0,3,2
TABBY,FEMALE,8,NORMAL,STRAY,71,3,0,3,2
OTHER,FEMALE,5,INJURED,STRAY,39,2,0,2,2
BLACK,FEMALE,5,NORMAL,STRAY,29,0,0,3,2
TABBY,FEMALE,8,NORMAL,STRAY,111,3,0,3,2
TABBY,MALE,5,UNDER WEIGHT,STRAY,24,3,1,5,2
BLACK,MALE,5,NORMAL,STRAY,35,0,1,3,2
OTHER,MALE,13,NORMAL,OWNER SURRENDER,18,2,1,3,1
TABBY,MALE,5,NORMAL,STRAY,7,3,1,3,2
TABBY,FEMALE,5,NORMAL,STRAY,37,3,0,3,2
BLACK,MALE,6,OTHER,STRAY,92,0,1,4,2
OTHER,MALE,8,INJURED,STRAY,16,2,1,2,2
BLACK,FEMALE,5,NORMAL,STRAY,12,0,0,3,2
OTHER,MALE,9,NORMAL,STRAY,11,2,1,3,2
OTHER,MALE,11,NORMAL,STRAY,20,2,1,3,2
BLACK,MALE,5,OTHER,STRAY,33,0,1,4,2
OTHER,MALE,11,NORMAL,OWNER SURRENDER,3,2,1,3,1
GRAY,FEMALE,8,NORMAL,STRAY,110,1,0,3,2
OTHER,FEMALE,12,OTHER,STRAY,69,2,0,4,2
OTHER,FEMALE,6,NORMAL,OWNER SURRENDER,3,2,0,3,1
OTHER,FEMALE,7,NORMAL,STRAY,25,2,0,3,2
OTHER,FEMALE,5,NORMAL,STRAY,9,2,0,3,2
WHITE,MALE,6,INJURED,STRAY,59,4,1,2,2
TABBY,MALE,5,NORMAL,STRAY,43,3,1,3,2
GRAY,FEMALE,5,NORMAL,OWNER SURRENDER,68,1,0,3,1
OTHER,FEMALE,4,UNDER WEIGHT,STRAY,101,2,0,5,2
BLACK,FEMALE,4,NORMAL,STRAY,13,0,0,3,2
BLACK,MALE,4,NORMAL,STRAY,13,0,1,3,2
GRAY,MALE,4,UNDER WEIGHT,STRAY,23,1,1,5,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,61,3,0,5,2
TABBY,FEMALE,7,OTHER,STRAY,21,3,0,4,2
OTHER,MALE,4,NORMAL,STRAY,12,2,1,3,2
BLACK,MALE,4,UNDER WEIGHT,OWNER SURRENDER,0,0,1,5,1
TABBY,MALE,4,NORMAL,STRAY,2,3,1,3,2
GRAY,FEMALE,7,NORMAL,STRAY,294,1,0,3,2
GRAY,MALE,4,UNDER WEIGHT,STRAY,215,1,1,5,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,137,3,1,5,2
GRAY,MALE,4,NORMAL,STRAY,87,1,1,3,2
WHITE,FEMALE,4,UNDER WEIGHT,OTHER,202,4,0,5,0
TABBY,MALE,4,NORMAL,STRAY,3,3,1,3,2
OTHER,FEMALE,7,NORMAL,STRAY,4,2,0,3,2
OTHER,MALE,4,UNDER WEIGHT,STRAY,154,2,1,5,2
BLACK,MALE,4,NORMAL,STRAY,45,0,1,3,2
GRAY,FEMALE,4,ILL MILD,STRAY,54,1,0,0,2
BLACK,FEMALE,4,NORMAL,STRAY,22,0,0,3,2
BLACK,FEMALE,4,NORMAL,STRAY,27,0,0,3,2
OTHER,MALE,4,NORMAL,STRAY,9,2,1,3,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,2,3,1,5,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,6,3,1,5,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,2,3,0,5,2
TABBY,MALE,4,NORMAL,STRAY,182,3,1,3,2
GRAY,FEMALE,4,NORMAL,STRAY,140,1,0,3,2
BLACK,FEMALE,6,NORMAL,STRAY,84,0,0,3,2
BLACK,FEMALE,4,NORMAL,STRAY,18,0,0,3,2
BLACK,MALE,4,NORMAL,STRAY,194,0,1,3,2
WHITE,FEMALE,4,NORMAL,STRAY,50,4,0,3,2
WHITE,FEMALE,6,NORMAL,STRAY,21,4,0,3,2
GRAY,FEMALE,4,NORMAL,STRAY,231,1,0,3,2
GRAY,FEMALE,4,NORMAL,STRAY,12,1,0,3,2
OTHER,FEMALE,4,NORMAL,STRAY,27,2,0,3,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,185,0,0,5,2
TABBY,MALE,4,NORMAL,STRAY,24,3,1,3,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,1,0,1,5,2
TABBY,FEMALE,5,NORMAL,STRAY,28,3,0,3,2
OTHER,FEMALE,7,NORMAL,STRAY,14,2,0,3,2
OTHER,MALE,4,NORMAL,STRAY,125,2,1,3,2
TABBY,FEMALE,4,UNDER WEIGHT,STRAY,150,3,0,5,2
TABBY,FEMALE,4,NORMAL,STRAY,132,3,0,3,2
BLACK,FEMALE,8,OTHER,OWNER SURRENDER,115,0,0,4,1
TABBY,MALE,4,NORMAL,STRAY,8,3,1,3,2
BLACK,FEMALE,4,NORMAL,STRAY,35,0,0,3,2
OTHER,MALE,6,NORMAL,OWNER SURRENDER,137,2,1,3,1
TABBY,FEMALE,4,NORMAL,STRAY,71,3,0,3,2
GRAY,MALE,4,NORMAL,STRAY,13,1,1,3,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,26,3,1,5,2
OTHER,MALE,8,NORMAL,STRAY,124,2,1,3,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,212,0,1,5,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,120,0,1,5,2
BLACK,FEMALE,4,UNDER WEIGHT,STRAY,120,0,0,5,2
TABBY,FEMALE,4,ILL SEVERE,STRAY,71,3,0,1,2
TABBY,MALE,8,NORMAL,OWNER SURRENDER,128,3,1,3,1
TABBY,FEMALE,7,NORMAL,STRAY,134,3,0,3,2
OTHER,MALE,6,NORMAL,OWNER SURRENDER,105,2,1,3,1
TABBY,FEMALE,6,NORMAL,STRAY,92,3,0,3,2
TABBY,FEMALE,4,INJURED,STRAY,192,3,0,2,2
TABBY,FEMALE,4,NORMAL,STRAY,86,3,0,3,2
TABBY,MALE,4,UNDER WEIGHT,STRAY,69,3,1,5,2
BLACK,MALE,4,UNDER WEIGHT,STRAY,108,0,1,5,2
GRAY,FEMALE,4,UNDER WEIGHT,STRAY,68,1,0,5,2
BLACK,FEMALE,7,NORMAL,STRAY,88,0,0,3,2
TABBY,FEMALE,4,NORMAL,STRAY,50,3,0,3,2
BLACK,MALE,5,NORMAL,STRAY,103,0,1,3,2
TABBY,FEMALE,4,OTHER,OTHER,65,3,0,4,0
TABBY,FEMALE,4,NORMAL,STRAY,58,3,0,3,2
BLACK,MALE,4,NORMAL,STRAY,99,0,1,3,2
TABBY,MALE,10,NORMAL,OTHER,15,3,1,3,0
GRAY,MALE,9,NORMAL,STRAY,7,1,1,3,2
TABBY,MALE,4,NORMAL,STRAY,4,3,1,3,2
OTHER,FEMALE,4,NORMAL,STRAY,35,2,0,3,2
GRAY,FEMALE,4,NORMAL,STRAY,11,1,0,3,2
TABBY,MALE,4,NORMAL,STRAY,35,3,1,3,2
TABBY,MALE,11,ILL SEVERE,STRAY,27,3,1,1,2
OTHER,FEMALE,6,NORMAL,STRAY,41,2,0,3,2
BLACK,FEMALE,4,NORMAL,STRAY,42,0,0,3,2
TABBY,MALE,4,NORMAL,STRAY,43,3,1,3,2
TABBY,FEMALE,4,NORMAL,STRAY,17,3,0,3,2
BLACK,FEMALE,4,OTHER,STRAY,35,0,0,4,2
GRAY,MALE,13,INJURED,STRAY,32,1,1,2,2
BLACK,MALE,4,NORMAL,STRAY,30,0,1,3,2
OTHER,FEMALE,7,INJURED,STRAY,62,2,0,2,2
WHITE,MALE,6,OTHER,STRAY,19,4,1,4,2
TABBY,MALE,7,NORMAL,STRAY,14,3,1,3,2
TABBY,FEMALE,12,OTHER,OWNER SURRENDER,40,3,0,4,1
OTHER,FEMALE,5,NORMAL,STRAY,11,2,0,3,2
TABBY,MALE,8,NORMAL,OWNER SURRENDER,66,3,1,3,1
GRAY,FEMALE,5,OTHER,OTHER,31,1,0,4,0
OTHER,MALE,6,NORMAL,OWNER SURRENDER,18,2,1,3,1
GRAY,MALE,4,NORMAL,STRAY,9,1,1,3,2
WHITE,FEMALE,4,NORMAL,STRAY,42,4,0,3,2
BLACK,FEMALE,4,NORMAL,STRAY,22,0,0,3,2
OTHER,FEMALE,4,NORMAL,OWNER SURRENDER,24,2,0,3,1
OTHER,MALE,6,OTHER,OWNER SURRENDER,9,2,1,4,1
OTHER,FEMALE,4,NORMAL,STRAY,7,2,0,3,2
OTHER,FEMALE,4,NORMAL,OTHER,13,2,0,3,0
TABBY,FEMALE,4,NORMAL,STRAY,103,3,0,3,2
TABBY,MALE,8,NORMAL,STRAY,184,3,1,3,2
TABBY,FEMALE,5,NORMAL,STRAY,13,3,0,3,2
TABBY,FEMALE,11,INJURED,STRAY,2,3,0,2,2
BLACK,MALE,7,INJURED,STRAY,12,0,1,2,2
TABBY,MALE,9,NORMAL,OWNER SURRENDER,277,3,1,3,1
TABBY,MALE,3,NORMAL,STRAY,73,3,1,3,2
TABBY,FEMALE,3,NORMAL,STRAY,4,3,0,3,2
TABBY,MALE,3,NORMAL,STRAY,10,3,1,3,2
TABBY,FEMALE,3,NORMAL,STRAY,24,3,0,3,2
TABBY,MALE,3,NORMAL,STRAY,113,3,1,3,2
TABBY,FEMALE,3,NORMAL,STRAY,22,3,0,3,2
BLACK,FEMALE,3,NORMAL,STRAY,25,0,0,3,2
OTHER,FEMALE,3,NORMAL,STRAY,16,2,0,3,2
TABBY,MALE,6,NORMAL,OWNER SURRENDER,75,3,1,3,1
BLACK,FEMALE,3,ILL SEVERE,STRAY,33,0,0,1,2
TABBY,FEMALE,5,NORMAL,OTHER,19,3,0,3,0
TABBY,MALE,3,ILL MILD,STRAY,21,3,1,0,2
GRAY,MALE,4,INJURED,STRAY,14,1,1,2,2
TABBY,FEMALE,3,NORMAL,STRAY,98,3,0,3,2
TABBY,FEMALE,3,ILL MILD,STRAY,42,3,0,0,2
BLACK,FEMALE,3,ILL MILD,STRAY,49,0,0,0,2
WHITE,FEMALE,10,OTHER,STRAY,183,4,0,4,2
BLACK,FEMALE,5,OTHER,STRAY,49,0,0,4,2
TABBY,FEMALE,4,OTHER,STRAY,49,3,0,4,2
TABBY,MALE,3,NORMAL,STRAY,39,3,1,3,2
OTHER,FEMALE,4,NORMAL,STRAY,39,2,0,3,2
TABBY,FEMALE,5,NORMAL,STRAY,171,3,0,3,2
BLACK,MALE,6,NORMAL,OTHER,73,0,1,3,0
BLACK,FEMALE,6,NORMAL,OTHER,73,0,0,3,0
BLACK,MALE,3,UNDER WEIGHT,STRAY,83,0,1,5,2
GRAY,FEMALE,5,NORMAL,STRAY,14,1,0,3,2
WHITE,MALE,3,UNDER WEIGHT,STRAY,4,4,1,5,2
BLACK,FEMALE,3,INJURED,STRAY,17,0,0,2,2
TABBY,FEMALE,5,NORMAL,STRAY,66,3,0,3,2
GRAY,MALE,3,NORMAL,STRAY,10,1,1,3,2
BLACK,FEMALE,3,NORMAL,OTHER,21,0,0,3,0
BLACK,MALE,3,NORMAL,STRAY,24,0,1,3,2
TABBY,MALE,3,UNDER WEIGHT,STRAY,101,3,1,5,2
TABBY,FEMALE,3,UNDER WEIGHT,STRAY,65,3,0,5,2
BLACK,MALE,3,NORMAL,STRAY,13,0,1,3,2
BLACK,FEMALE,3,NORMAL,STRAY,26,0,0,3,2
OTHER,MALE,3,NORMAL,STRAY,19,2,1,3,2
BLACK,MALE,3,NORMAL,STRAY,20,0,1,3,2
OTHER,MALE,6,NORMAL,STRAY,24,2,1,3,2
TABBY,MALE,3,NORMAL,STRAY,9,3,1,3,2
TABBY,MALE,3,NORMAL,STRAY,126,3,1,3,2
GRAY,FEMALE,3,NORMAL,STRAY,11,1,0,3,2
BLACK,MALE,8,INJURED,STRAY,28,0,1,2,2
BLACK,MALE,12,NORMAL,STRAY,90,0,1,3,2
WHITE,MALE,3,NORMAL,STRAY,50,4,1,3,2
BLACK,MALE,3,NORMAL,STRAY,9,0,1,3,2
TABBY,MALE,3,NORMAL,STRAY,13,3,1,3,2
BLACK,MALE,3,UNDER WEIGHT,STRAY,1,0,1,5,2
BLACK,FEMALE,6,INJURED,OTHER,37,0,0,2,0
TABBY,MALE,5,NORMAL,STRAY,31,3,1,3,2
TABBY,MALE,3,NORMAL,STRAY,16,3,1,3,2
OTHER,FEMALE,3,NORMAL,STRAY,15,2,0,3,2
WHITE,MALE,12,ILL SEVERE,STRAY,134,4,1,1,2
GRAY,FEMALE,6,NORMAL,OWNER SURRENDER,13,1,0,3,1
TABBY,MALE,4,NORMAL,OWNER SURRENDER,22,3,1,3,1
TABBY,MALE,3,NORMAL,STRAY,4,3,1,3,2
OTHER,MALE,4,NORMAL,OWNER SURRENDER,7,2,1,3,1
OTHER,MALE,4,OTHER,OTHER,153,2,1,4,0
OTHER,FEMALE,2,NORMAL,STRAY,77,2,0,3,2
OTHER,FEMALE,4,NORMAL,OWNER SURRENDER,49,2,0,3,1
BLACK,FEMALE,5,NORMAL,OWNER SURRENDER,283,0,0,3,1
GRAY,MALE,6,NORMAL,STRAY,6,1,1,3,2
OTHER,MALE,7,OTHER,STRAY,23,2,1,4,2
OTHER,FEMALE,4,NORMAL,OWNER SURRENDER,20,2,0,3,1
OTHER,MALE,7,NORMAL,STRAY,7,2,1,3,2
BLACK,FEMALE,2,UNDER WEIGHT,STRAY,113,0,0,5,2
TABBY,FEMALE,2,NORMAL,STRAY,110,3,0,3,2
BLACK,MALE,2,NORMAL,STRAY,65,0,1,3,2
TABBY,MALE,3,INJURED,STRAY,63,3,1,2,2
BLACK,FEMALE,2,NORMAL,OWNER SURRENDER,3,0,0,3,1
TABBY,MALE,3,NORMAL,OWNER SURRENDER,9,3,1,3,1
TABBY,FEMALE,3,NORMAL,STRAY,29,3,0,3,2
TABBY,FEMALE,2,UNDER WEIGHT,STRAY,66,3,0,5,2
BLACK,FEMALE,2,NORMAL,STRAY,9,0,0,3,2
WHITE,MALE,6,OTHER,OTHER,16,4,1,4,0
OTHER,MALE,2,NORMAL,OTHER,68,2,1,3,0
BLACK,MALE,2,NORMAL,STRAY,7,0,1,3,2
BLACK,MALE,2,UNDER WEIGHT,STRAY,28,0,1,5,2
WHITE,FEMALE,2,NORMAL,STRAY,12,4,0,3,2
OTHER,FEMALE,5,NORMAL,STRAY,15,2,0,3,2
BLACK,FEMALE,2,ILL MILD,STRAY,5,0,0,0,2
BLACK,FEMALE,2,INJURED,STRAY,83,0,0,2,2
GRAY,MALE,2,NORMAL,STRAY,5,1,1,3,2
BLACK,FEMALE,2,NORMAL,STRAY,28,0,0,3,2
TABBY,FEMALE,2,NORMAL,STRAY,28,3,0,3,2
WHITE,MALE,5,NORMAL,OTHER,41,4,1,3,0
TABBY,MALE,12,ILL MILD,STRAY,28,3,1,0,2
TABBY,MALE,3,NORMAL,STRAY,77,3,1,3,2
OTHER,FEMALE,2,NORMAL,STRAY,6,2,0,3,2
TABBY,FEMALE,2,NORMAL,STRAY,26,3,0,3,2
WHITE,MALE,2,NORMAL,STRAY,29,4,1,3,2
BLACK,FEMALE,2,UNDER WEIGHT,STRAY,35,0,0,5,2
OTHER,MALE,2,NORMAL,STRAY,40,2,1,3,2
BLACK,MALE,2,NORMAL,STRAY,32,0,1,3,2
TABBY,MALE,2,INJURED,STRAY,55,3,1,2,2
OTHER,FEMALE,2,NORMAL,STRAY,63,2,0,3,2
WHITE,FEMALE,2,UNDER WEIGHT,STRAY,91,4,0,5,2
BLACK,MALE,2,NORMAL,STRAY,5,0,1,3,2
TABBY,MALE,2,NORMAL,OTHER,4,3,1,3,0
GRAY,FEMALE,2,NORMAL,STRAY,64,1,0,3,2
TABBY,MALE,2,NORMAL,STRAY,14,3,1,3,2
GRAY,FEMALE,2,UNDER WEIGHT,STRAY,139,1,0,5,2
OTHER,MALE,2,UNDER WEIGHT,STRAY,36,2,1,5,2
OTHER,FEMALE,2,NORMAL,STRAY,7,2,0,3,2
BLACK,FEMALE,2,NORMAL,STRAY,7,0,0,3,2
TABBY,MALE,2,UNDER WEIGHT,OTHER,31,3,1,5,0
WHITE,MALE,8,ILL MILD,OWNER SURRENDER,16,4,1,0,1
BLACK,FEMALE,2,NORMAL,STRAY,13,0,0,3,2
GRAY,MALE,2,INJURED,STRAY,12,1,1,2,2
TABBY,FEMALE,2,INJURED,STRAY,15,3,0,2,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,41,2,0,5,2
OTHER,MALE,2,INJURED,STRAY,4,2,1,2,2
BLACK,FEMALE,1,UNDER WEIGHT,STRAY,98,0,0,5,2
TABBY,FEMALE,4,INJURED,STRAY,10,3,0,2,2
OTHER,MALE,3,OTHER,OTHER,68,2,1,4,0
GRAY,MALE,2,NORMAL,OWNER SURRENDER,48,1,1,3,1
WHITE,MALE,3,NORMAL,OTHER,69,4,1,3,0
TABBY,MALE,1,UNDER WEIGHT,STRAY,62,3,1,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,61,3,1,5,2
BLACK,FEMALE,1,NORMAL,STRAY,50,0,0,3,2
TABBY,FEMALE,1,NORMAL,STRAY,42,3,0,3,2
OTHER,FEMALE,3,NORMAL,STRAY,10,2,0,3,2
TABBY,MALE,1,NORMAL,STRAY,37,3,1,3,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,3,0,1,5,2
OTHER,MALE,1,INJURED,STRAY,14,2,1,2,2
BLACK,FEMALE,1,UNDER WEIGHT,STRAY,123,0,0,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,30,2,0,5,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,49,0,1,5,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,13,3,0,5,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,31,0,1,5,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,27,0,1,5,2
BLACK,FEMALE,1,ILL MILD,STRAY,20,0,0,0,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,20,3,1,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,12,3,1,5,2
BLACK,MALE,1,UNDER WEIGHT,STRAY,32,0,1,5,2
BLACK,MALE,1,NORMAL,OTHER,127,0,1,3,0
BLACK,MALE,1,NORMAL,STRAY,20,0,1,3,2
OTHER,FEMALE,1,ILL SEVERE,STRAY,24,2,0,1,2
TABBY,MALE,4,NORMAL,OTHER,131,3,1,3,0
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,43,3,0,5,2
BLACK,MALE,1,NORMAL,STRAY,236,0,1,3,2
GRAY,MALE,1,UNDER WEIGHT,STRAY,21,1,1,5,2
WHITE,MALE,1,NORMAL,STRAY,80,4,1,3,2
TABBY,MALE,1,NORMAL,STRAY,10,3,1,3,2
TABBY,FEMALE,1,ILL SEVERE,OWNER SURRENDER,24,3,0,1,1
OTHER,FEMALE,2,INJURED,OWNER SURRENDER,2,2,0,2,1
BLACK,FEMALE,1,NORMAL,STRAY,16,0,0,3,2
OTHER,MALE,3,NORMAL,STRAY,96,2,1,3,2
BLACK,MALE,1,OTHER,STRAY,40,0,1,4,2
BLACK,FEMALE,1,NORMAL,OTHER,1,0,0,3,0
WHITE,MALE,9,INJURED,STRAY,15,4,1,2,2
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,24,1,0,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,17,3,1,5,2
OTHER,FEMALE,4,OTHER,STRAY,99,2,0,4,2
BLACK,FEMALE,5,NORMAL,OTHER,42,0,0,3,0
BLACK,FEMALE,5,NORMAL,OTHER,22,0,0,3,0
TABBY,MALE,1,UNDER WEIGHT,STRAY,88,3,1,5,2
GRAY,FEMALE,3,NORMAL,STRAY,16,1,0,3,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,5,3,0,5,2
BLACK,MALE,1,ILL SEVERE,STRAY,68,0,1,1,2
GRAY,FEMALE,1,NORMAL,STRAY,22,1,0,3,2
BLACK,MALE,6,INJURED,STRAY,43,0,1,2,2
GRAY,FEMALE,1,UNDER WEIGHT,STRAY,10,1,0,5,2
TABBY,MALE,1,UNDER WEIGHT,STRAY,4,3,1,5,2
OTHER,FEMALE,1,NORMAL,STRAY,113,2,0,3,2
TABBY,MALE,3,NORMAL,STRAY,106,3,1,3,2
TABBY,FEMALE,1,UNDER WEIGHT,STRAY,34,3,0,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,2,2,0,5,2
TABBY,MALE,1,NORMAL,OTHER,32,3,1,3,0
BLACK,MALE,1,UNDER WEIGHT,STRAY,99,0,1,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,3,2,0,5,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,22,2,0,5,2
BLACK,FEMALE,1,NORMAL,STRAY,4,0,0,3,2
OTHER,FEMALE,1,UNDER WEIGHT,STRAY,82,2,0,5,2
GRAY,MALE,2,NORMAL,OWNER SURRENDER,38,1,1,3,1
TABBY,MALE,4,OTHER,STRAY,17,3,1,4,2
TABBY,MALE,1,NORMAL,STRAY,40,3,1,3,2
BLACK,MALE,8,NORMAL,STRAY,52,0,1,3,2
GRAY,MALE,1,ILL MILD,STRAY,15,1,1,0,2
BLACK,MALE,6,NORMAL,STRAY,3,0,1,3,2
WHITE,FEMALE,2,INJURED,STRAY,6,4,0,2,2
BLACK,MALE,4,INJURED,STRAY,35,0,1,2,2
TABBY,MALE,0,UNDER WEIGHT,STRAY,47,3,1,5,2
TABBY,FEMALE,1,NORMAL,STRAY,4,3,0,3,2
TABBY,FEMALE,0,UNDER WEIGHT,STRAY,41,3,0,5,2
OTHER,MALE,5,NORMAL,OWNER SURRENDER,14,2,1,3,1
GRAY,FEMALE,6,NORMAL,OWNER SURRENDER,229,1,0,3,1
BLACK,MALE,0,NORMAL,STRAY,2,0,1,3,2
TABBY,MALE,3,INJURED,STRAY,8,3,1,2,2
TABBY,FEMALE,0,ILL MILD,STRAY,23,3,0,0,2
OTHER,MALE,0,ILL MILD,STRAY,23,2,1,0,2
TABBY,FEMALE,1,OTHER,STRAY,61,3,0,4,2
GRAY,MALE,0,OTHER,STRAY,30,1,1,4,2
GRAY,MALE,0,OTHER,STRAY,37,1,1,4,2
GRAY,MALE,0,NORMAL,STRAY,4,1,1,3,2
OTHER,FEMALE,1,ILL MILD,STRAY,15,2,0,0,2
GRAY,MALE,13,ILL MILD,STRAY,37,1,1,0,2
TABBY,MALE,0,UNDER WEIGHT,STRAY,48,3,1,5,2
BLACK,MALE,0,NORMAL,STRAY,4,0,1,3,2
TABBY,FEMALE,2,NORMAL,STRAY,11,3,0,3,2
OTHER,FEMALE,0,NORMAL,OTHER,14,2,0,3,0
OTHER,FEMALE,1,NORMAL,STRAY,102,2,0,3,2
BLACK,MALE,0,UNDER WEIGHT,STRAY,92,0,1,5,2
TABBY,FEMALE,0,ILL MILD,OWNER SURRENDER,42,3,0,0,1
OTHER,FEMALE,5,ILL MILD,STRAY,131,2,0,0,2
TABBY,FEMALE,0,ILL MILD,STRAY,107,3,0,0,2
TABBY,FEMALE,0,NORMAL,STRAY,104,3,0,3,2
BLACK,FEMALE,2,INJURED,STRAY,101,0,0,2,2
TABBY,FEMALE,0,OTHER,STRAY,98,3,0,4,2
TABBY,MALE,0,OTHER,OTHER,13,3,1,4,0
TABBY,FEMALE,0,ILL MILD,STRAY,76,3,0,0,2
BLACK,MALE,0,UNDER WEIGHT,STRAY,81,0,1,5,2
WHITE,MALE,14,OTHER,OWNER SURRENDER,17,4,1,4,1
TABBY,MALE,10,NORMAL,STRAY,284,3,1,3,2
BLACK,MALE,8,NORMAL,OWNER SURRENDER,78,0,1,3,1
BLACK,FEMALE,7,NORMAL,OWNER SURRENDER,90,0,0,3,1
BLACK,FEMALE,7,NORMAL,STRAY,9,0,0,3,2
BLACK,MALE,7,NORMAL,OWNER SURRENDER,3,0,1,3,1
TABBY,MALE,7,NORMAL,STRAY,58,3,1,3,2
BLACK,MALE,9,OTHER,STRAY,16,0,1,4,2
TABBY,FEMALE,9,NORMAL,STRAY,7,3,0,3,2
BLACK,MALE,7,NORMAL,OWNER SURRENDER,132,0,1,3,1
OTHER,MALE,8,NORMAL,OWNER SURRENDER,57,2,1,3,1
TABBY,MALE,14,NORMAL,STRAY,13,3,1,3,2
OTHER,FEMALE,9,NORMAL,STRAY,50,2,0,3,2
OTHER,FEMALE,11,NORMAL,OWNER SURRENDER,30,2,0,3,1
TABBY,MALE,9,NORMAL,STRAY,25,3,1,3,2
OTHER,FEMALE,8,NORMAL,STRAY,100,2,0,3,2
OTHER,FEMALE,6,ILL MILD,STRAY,24,2,0,0,2
WHITE,FEMALE,6,NORMAL,STRAY,11,4,0,3,2
TABBY,FEMALE,6,UNDER WEIGHT,STRAY,7,3,0,5,2
BLACK,MALE,6,UNDER WEIGHT,STRAY,57,0,1,5,2
OTHER,MALE,10,NORMAL,OWNER SURRENDER,28,2,1,3,1
WHITE,MALE,6,NORMAL,STRAY,12,4,1,3,2
TABBY,MALE,6,OTHER,STRAY,44,3,1,4,2
TABBY,MALE,6,OTHER,OWNER SURRENDER,91,3,1,4,1
OTHER,MALE,7,NORMAL,STRAY,47,2,1,3,2
OTHER,FEMALE,8,OTHER,STRAY,63,2,0,4,2
OTHER,FEMALE,8,NORMAL,STRAY,9,2,0,3,2
OTHER,MALE,6,NORMAL,STRAY,13,2,1,3,2
TABBY,FEMALE,6,NORMAL,STRAY,79,3,0,3,2
BLACK,MALE,14,NORMAL,OWNER SURRENDER,60,0,1,3,1
WHITE,FEMALE,9,NORMAL,STRAY,46,4,0,3,2
OTHER,FEMALE,6,NORMAL,STRAY,26,2,0,3,2
BLACK,MALE,6,NORMAL,STRAY,16,0,1,3,2
GRAY,MALE,6,NORMAL,STRAY,7,1,1,3,2
WHITE,FEMALE,6,NORMAL,STRAY,19,4,0,3,2
BLACK,MALE,6,UNDER WEIGHT,STRAY,172,0,1,5,2
OTHER,MALE,13,NORMAL,OWNER SURRENDER,3,2,1,3,1
