Animal ID,Animal Name,Animal Type,Primary Color,Secondary Color,Sex,DOB,Age,Intake Date,Intake Condition,Intake Type,Intake Subtype,Reason for Intake,Outcome Date,Crossing,Jurisdiction,Outcome Type,Outcome Subtype,intake_is_dead,outcome_is_dead,was_outcome_alive
A587914,BUTTERSCOTCH,CAT,ORG TABBY,,Neutered,2007-04-01,16.0,2017-03-31,NORMAL,OWNER SURRENDER,OTC,NO HOME,2017-05-28,"1400 BLK OBISPO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,SOCIAL MED,Alive on Intake,FALSE,1
A588055,,CAT,BRN TABBY,,Female,2015-04-04,8.0,2017-04-04,INJURED  SEVERE,STRAY,FIELD,,2017-04-12,"100 BLK E LOUISE ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A588338,*GRACE,CAT,GRAY,,Female,2015-04-09,8.0,2017-04-09,NORMAL,STRAY,OTC,,2017-04-23,"1400 BLK PINE AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A588512,,CAT,CALICO,WHITE,Female,2017-02-12,6.0,2017-04-12,NORMAL,STRAY,OTC,,2017-04-24,"16000 NORWALK BLVD, CERRITOS, CA 90703",CERRITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A588532,*LORENZO,CAT,BLACK,WHITE,Neutered,2013-04-13,10.0,2017-04-13,ILL MILD,STRAY,OTC,,2017-08-18,"1000 E BURNETT ST, SIGNAL HILL, CA 90755",SIGNAL HILL,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A589302,*ABIGAIL,CAT,BRN TABBY,,Female,2017-04-26,6.0,2017-04-26,UNDER AGE/WEIGHT,STRAY,AT SHELTER,,2017-06-15,"7700 E SPRING ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A589330,BOB,CAT,ORANGE,,Neutered,2012-10-27,11.0,2017-04-27,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2017-05-31,"1300 BLK N STUDEBAKER RD, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,SOCIAL MED,Alive on Intake,FALSE,1
A589833,MISTER,CAT,ORG TABBY,,Female,2012-05-06,11.0,2017-05-06,NORMAL,OWNER SURRENDER,OTC,LANDLORD,2017-06-04,"2100 BLK SAN ANSELINE AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A589906,*AVERY,CAT,GRAY,,Female,2016-05-07,7.0,2017-05-07,ILL MODERATETE,STRAY,FIELD,,2017-06-18,"67TH ST / LONG BEACH BLVD, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A590389,,CAT,WHITE,BROWN,Female,2017-02-17,6.0,2017-05-17,NORMAL,STRAY,OTC,,2017-05-31,"1900 BLK E MCKENZIE ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A590440,,CAT,BRN TABBY,WHITE,Female,2017-03-18,6.0,2017-05-18,NORMAL,STRAY,OTC,,2017-05-26,"19000 BLK IBEX AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A590441,,CAT,BLACK,GRAY TABBY,Male,2017-03-18,6.0,2017-05-18,NORMAL,STRAY,OTC,,2017-06-06,"19000 BLK IBEX AVE, CERRITOS, CA 90703",CERRITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A591072,GREGORY,CAT,BLACK,WHITE,Male,2015-05-31,8.0,2017-05-31,NORMAL,OWNER SURRENDER,OTC,NO HOME,2017-06-10,"1800 BLK E OCEAN BLVD, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A591079,*MUNSTER,CAT,BRN TABBY,,Neutered,2017-03-31,6.0,2017-05-31,FERAL,STRAY,OTC,,2017-06-10,"10000 BLK OAK ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A591758,CUDDLES,CAT,BLACK,,Neutered,2017-04-12,6.0,2017-06-12,NORMAL,STRAY,OTC,,2017-08-26,"1000 E 10TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A591973,,CAT,BRN TABBY,WHITE,Female,2017-04-16,6.0,2017-06-16,NORMAL,STRAY,OTC,,2017-07-09,"1500 BLK JUNIPERO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A592091,*PLUTO,CAT,BRN TABBY,WHITE,Male,2017-04-18,6.0,2017-06-18,NORMAL,STRAY,OTC,,2017-07-02,"DELTA AVE / W HEATH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A592568,*PHYLLIS,CAT,TORTIE DIL,,Spayed,2015-06-28,8.0,2017-06-28,NORMAL,STRAY,OTC,,2017-07-09,"400 BLK E JANICE ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A592693,BLACKIE,CAT,BLACK,,Male,2017-04-30,6.0,2017-06-30,NORMAL,STRAY,OTC,,2017-07-27,"5100 BLK KEARSARGE AVE, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A592708,*GIDEON,CAT,GRAY,WHITE,Neutered,2017-04-15,6.0,2017-06-30,FERAL,STRAY,OTC,,2017-08-11,"2000 BLK MYRTLE AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,REMOTE EVT,Alive on Intake,FALSE,1
A592823,*ANNIE,CAT,BLACK,WHITE,Spayed,2016-07-02,7.0,2017-07-02,NORMAL,STRAY,OTC,,2017-08-02,"500 E WILLOW ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A592965,*WOMBAT,CAT,ORG TABBY,,Neutered,2017-04-05,6.0,2017-07-05,NORMAL,STRAY,OTC,,2017-07-23,"100 BLK W DEL AMO BLVD, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A593069,*ASPEN,CAT,BLACK,,Female,2017-04-07,6.0,2017-07-07,NORMAL,STRAY,OTC,,2017-07-20,"100 BLK E PLYMOUTH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A593282,*RIPLEY,CAT,BRN TABBY,WHITE,Neutered,2017-04-11,6.0,2017-07-11,NORMAL,STRAY,OTC,,2017-09-13,"E CARSON ST / CHERRY AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A593658,MAY,CAT,BLACK,,Spayed,2017-05-16,6.0,2017-07-16,NORMAL,STRAY,OTC,,2017-08-25,"6000 BLK LEWIS AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A593764,*PIGEON,CAT,GRAY TABBY,WHITE,Spayed,2014-07-18,9.0,2017-07-18,NORMAL,STRAY,OTC,,2018-06-20,"2333 PASADENA AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A593815,*MELISENDE,CAT,TORTIE,,Spayed,2017-03-19,6.0,2017-09-15,FERAL,STRAY,OTC,,2018-01-12,"200 BLK TEMPLE AVE, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A594151,*PLINKO,CAT,GRAY,,Male,2017-03-24,6.0,2017-07-24,ILL MILD,STRAY,FIELD,,2017-08-07,"5600 BLK OLIVE AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A594274,*NOAH,CAT,SEAL PT,,Neutered,2017-06-27,6.0,2017-07-27,FERAL,STRAY,OTC,,2017-09-20,"2200 CARFAX AVE, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A594393,*MAMA MANGO,CAT,BLACK,,Spayed,2014-07-28,9.0,2017-07-28,NORMAL,STRAY,OTC,,2017-11-30,"200 E SPRING ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A594476,ROSEMARY,CAT,CALICO TAB,,Spayed,2017-05-29,6.0,2017-07-29,NORMAL,STRAY,OTC,,2017-08-11,"1200 BLK E WERNER ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,REMOTE EVT,Alive on Intake,FALSE,1
A594511,,CAT,BLACK,WHITE,Male,2017-07-22,6.0,2017-07-30,UNDER AGE/WEIGHT,STRAY,OTC,,2018-06-09,"7600 BLK E CARSON ST, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,REFERRAL,Alive on Intake,FALSE,1
A594707,*JESSA,CAT,BLACK,,Spayed,2016-08-03,7.0,2017-08-03,NORMAL,STRAY,OTC,,2017-10-14,"200 LIME AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A594713,MEOWSER,CAT,ORG TABBY,,Neutered,2017-05-03,6.0,2017-09-21,FERAL,STRAY,OTC,,2018-01-12,"200 BLK TEMPLE AVE, LONG BEACH, CA 90803",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A594859,*SAILOR MOON,CAT,BLACK,,Spayed,2017-06-06,6.0,2017-08-06,NORMAL,STRAY,FIELD,,2017-08-11,"1700 BLK E WILLOW ST, SIGNAL HILL, CA 90755",SIGNAL HILL,ADOPTION,REMOTE EVT,Alive on Intake,FALSE,1
A595237,*LARRY,CAT,BLACK,WHITE,Male,2017-05-12,6.0,2017-08-12,NORMAL,STRAY,OTC,,2017-09-13,"1300 BLK LEMON AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A595446,ELIZA,CAT,WHITE,BRN TABBY,Spayed,2006-08-19,17.0,2017-08-30,ILL MILD,STRAY,FIELD,,2017-09-23,"2000 BLK W CANTON ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A595865,TOMMY,CAT,GRAY,,Neutered,2004-08-23,19.0,2017-08-23,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2017-09-09,"200 W HEATH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,REMOTE EVT,Alive on Intake,FALSE,1
A596479,*FRANKIE,CAT,BRN TABBY,,Male,2017-08-03,6.0,2017-09-03,UNDER AGE/WEIGHT,STRAY,OTC,,2017-10-01,"ORANGE AVE / PACIFIC COAST HWY, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A596684,XYLA,CAT,BLACK,WHITE,Spayed,2016-06-03,7.0,2017-09-07,NORMAL,OWNER SURRENDER,OTC,LANDLORD,2017-09-17,"300 BLK GLADYS AVE, LONG BEACH, CA 90814",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A596733,CHARLIE,CAT,TORBI,,Female,2013-09-08,10.0,2017-09-08,NORMAL,OWNER SURRENDER,OTC,OWNER PROB,2017-11-30,"2000 MAGNOLIA AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A597605,*GISELLE,CAT,GRAY,WHITE,Female,2017-06-22,6.0,2017-09-22,NORMAL,STRAY,OTC,,2017-09-30,"1400 MAGNOLIA AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A598046,*PRINCESS LEIA,CAT,BRN TABBY,WHITE,Spayed,2017-07-01,6.0,2017-10-01,FERAL,STRAY,OTC,,2017-10-26,"4200 BLK N BELLFLOWER BLVD, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A598052,*HAN SOLO,CAT,GRAY,WHITE,Neutered,2017-07-01,6.0,2017-10-01,NORMAL,STRAY,OTC,,2017-10-26,"4200 BLK N BELLFLOWER BLVD, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A598198,MUGATU,CAT,GRAY TABBY,WHITE,Female,2015-10-16,8.0,2017-10-04,NORMAL,OWNER SURRENDER,OTC,ALLERGIC,2018-02-07,"968 N LOMA VISTA DR, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A598253,*CORNICOPIA,CAT,ORG TABBY,,Male,2017-08-05,6.0,2017-10-05,NORMAL,STRAY,FIELD,,2017-11-19,"700 BLK W 28TH ST, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A598428,*DOLLAR BILL,CAT,ORG TABBY,WHITE,Neutered,2017-07-08,6.0,2017-10-08,NORMAL,STRAY,OTC,,2017-10-14,"300 BLK E COOLIDGE ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A598429,WINSTON,CAT,ORG TABBY,WHITE,Neutered,2017-07-08,6.0,2017-10-08,NORMAL,STRAY,OTC,,2017-10-14,"300 BLK E COOLIDGE ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A598431,*GLAMOUR-PUSS,CAT,CALICO,WHITE,Spayed,2017-07-08,6.0,2017-10-08,NORMAL,STRAY,OTC,,2017-10-14,"300 BLK E COOLIDGE ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A598834,ARABELLA,CAT,BLACK,WHITE,Spayed,2016-10-15,7.0,2017-07-14,NORMAL,STRAY,OTC,,2017-08-11,"7500 BLK E SPRING ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,REMOTE EVT,Alive on Intake,FALSE,1
A599586,*MAX,CAT,ORG TABBY,WHITE,Male,2017-09-04,6.0,2017-11-02,NORMAL,STRAY,OTC,,2017-11-10,"17TH ST / LEWIS AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A599883,*DOOLEY,CAT,ORG TABBY,,Neutered,2017-08-09,6.0,2017-11-09,NORMAL,STRAY,OTC,,2017-11-30,"1400 BLK COTA AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A599907,,CAT,BROWN,WHITE,Male,2016-11-09,7.0,2017-11-09,NORMAL,STRAY,FIELD,,2017-11-16,"3500 BLK BRAYTON AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A600226,,CAT,BLACK,WHITE,Unknown,2011-11-17,12.0,2017-11-17,ILL SEVERE,STRAY,FIELD,,2017-11-20,"2100 E 14TH ST, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,REFERRAL,Alive on Intake,FALSE,1
A600640,*VIOLET,CAT,BRN TABBY,,Spayed,2012-12-01,10.0,2017-12-01,NORMAL,STRAY,OTC,,2018-01-13,"N BELLFLOWER BLVD / E ATHERTON ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A600644,*HUXLEY,CAT,BRN TABBY,WHITE,Male,2015-12-01,7.0,2017-12-01,NORMAL,STRAY,OTC,,2017-12-09,"10000 LOS ALAMITOS BLVD, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A601132,*NICOLE,CAT,GRAY,,Female,2017-10-15,6.0,2017-12-15,NORMAL,STRAY,FIELD,,2017-12-22,"1300 E 11TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A601479,*FISH,CAT,BRN TABBY,WHITE,Male,2017-07-11,6.0,2017-12-28,FERAL,STRAY,OTC,,2018-01-14,"3600 PACIFIC AVE, LONG BEACH, CA 90807",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A601714,*CHICKLET,CAT,BLACK,,Male,2017-10-28,6.0,2018-01-03,NORMAL,STRAY,OTC,,2018-01-25,"340 BLK E SMITH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A602445,,CAT,CALICO,,Female,2017-09-14,6.0,2018-01-14,NORMAL,STRAY,OTC,,2018-01-21,"60 BLK BONITO AVE, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A602967,*GWEN,CAT,CALICO,,Spayed,2015-01-23,8.0,2018-01-23,NORMAL,STRAY,FIELD,,2018-02-19,"1300 BLK W BURNETT ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A603008,,CAT,GRAY,,Male,2017-01-24,6.0,2018-01-24,NORMAL,STRAY,FIELD,,2018-01-30,"1100 BLK E 5TH ST, LONG BEACH, CA 90802",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A603171,*WAYNE,CAT,BRN TABBY,,Neutered,2016-01-30,7.0,2018-01-30,NORMAL,STRAY,FIELD,,2018-05-19,"2400 BLK BALTIC AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A604040,PURRKINS,CAT,ORANGE,,Neutered,2017-02-23,6.0,2018-02-23,NORMAL,OWNER SURRENDER,OTC,MOVE,2018-02-25,"800 BLK RAYMOND AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A604180,*SQUISHY,CAT,ORG TABBY,WHITE,Neutered,2012-02-25,11.0,2018-02-25,NORMAL,STRAY,OTC,,2018-05-19,"2700 CASPIAN AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A605105,KYLO,CAT,BRN TABBY,,Neutered,2017-03-21,6.0,2018-03-21,NORMAL,OWNER SURRENDER,OTC,MOVE,2018-05-05,"3000 BLK N STUDEBAKER RD, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A605615,*JULIET,CAT,BRN TABBY,WHITE,Spayed,2016-03-31,7.0,2018-03-31,NORMAL,STRAY,OTC,,2018-06-08,"2400 BALTIC AVE, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A605678,EVEREST,CAT,SEAL,,Male,,,2018-04-02,NORMAL,STRAY,FIELD,,2018-04-07,"1200 BLK E 10TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,GOOD SAM,Alive on Intake,FALSE,1
A605992,BRUNO,CAT,WHITE,GRAY,Neutered,2014-04-08,9.0,2018-06-22,INJURED  MODERATE,OWNER SURRENDER,OTC,,2018-08-02,"1227 CLOVERBROOK ST, CARSON, CA 90745",LA COUNTY,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A606017,*INSPECTOR CHEESE,CAT,BRN TABBY,WHITE,Neutered,2016-04-09,7.0,2018-04-09,FRACTIOUS,STRAY,TRAP,,2019-03-02,"700 BLK ELM AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A606341,*BLUE,CAT,SEAL PT,,Spayed,2018-02-17,5.0,2018-04-17,NORMAL,STRAY,OTC,,2018-05-19,"6000 BLK LONG BEACH BLVD, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A607237,*GERTIE,CAT,GRAY TABBY,WHITE,Spayed,2015-05-06,8.0,2018-05-06,NORMAL,STRAY,OTC,,2018-07-03,"E 7TH ST / ORANGE AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A608057,,CAT,BLACK,,Male,2018-03-23,5.0,2018-05-23,NORMAL,STRAY,OTC,,2018-05-28,"2000 BLK LIME AVE, LONG BEACH, CA 90806",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A608060,*LUCIAN,CAT,LYNX PT,,Male,2018-04-05,5.0,2018-05-23,UNDER AGE/WEIGHT,STRAY,OTC,,2018-06-02,"1000 BLK E 7TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,WALKIN,Alive on Intake,FALSE,1
A608251,MALIA,CAT,GRAY TABBY,WHITE,Spayed,2018-03-01,5.0,2018-05-25,UNDER AGE/WEIGHT,STRAY,OTC,,2018-06-10,"6600 FALCON AVE, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A608335,*MILKSHAKE,CAT,BLACK,WHITE,Neutered,2018-03-25,5.0,2018-05-25,NORMAL,STRAY,FIELD,,2018-06-06,"1000 BLK E 7TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A608766,WAFFLES,CAT,GRAY,WHITE,Spayed,2018-03-30,5.0,2018-05-30,NORMAL,OWNER SURRENDER,OTC,NO TIME,2018-06-06,"600 BLK E 7TH ST, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,SPEC EVT,Alive on Intake,FALSE,1
A608856,*HANZEL,CAT,BLACK,,Male,2018-04-20,5.0,2018-05-31,UNDER AGE/WEIGHT,STRAY,OTC,,2018-08-16,"3100 BLK E 64TH ST, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A609217,*GONZO,CAT,GRAY,WHITE,Neutered,2018-05-06,5.0,2018-06-06,NORMAL,STRAY,OTC,,2018-09-14,"1550 MARTIN LUTHER KING JR AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,,Alive on Intake,FALSE,1
A609353,*CHILI,CAT,GRAY TABBY,,Neutered,2018-04-08,5.0,2018-06-08,NORMAL,STRAY,OTC,,2018-12-13,"1100 E 70TH WAY, LONG BEACH, CA 90805",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A609724,*SNUGGLE BUM,CAT,BRN TABBY,WHITE,Spayed,2016-06-15,7.0,2018-06-15,NORMAL,STRAY,OTC,,2018-06-30,"7000 BLK E RITCHIE ST, LONG BEACH, CA 90808",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A609932,*BARNABAS,CAT,BLACK,,Neutered,2017-12-20,5.0,2018-06-20,NORMAL,STRAY,OTC,,2019-03-02,"1300 BLK REDONDO AVE, LONG BEACH, CA 90804",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A609950,WINSTON,CAT,BLACK,WHITE,Neutered,2018-05-05,5.0,2018-06-20,UNDER AGE/WEIGHT,STRAY,FIELD,,2018-10-23,"1700 BLK GAREDNIA AVE, LONG BEACH, CA 90813",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A610074,PHILLIP,CAT,WHITE,,Neutered,2014-06-22,9.0,2018-06-22,ILL MILD,OWNER SURRENDER,OTC,COST,2018-06-29,"2310 W LINCOLN ST, LONG BEACH, CA 90810",LONG BEACH,ADOPTION,SPCALA,Alive on Intake,FALSE,1
A610123,*TOBIAS,CAT,BLACK,WHITE,Male,2018-04-23,5.0,2018-06-23,NORMAL,STRAY,OTC,,2018-09-20,"N STUDEBAKER RD / E LOS ARCOS ST, LONG BEACH, CA 90815",LONG BEACH,ADOPTION,PFE/PAWSHP,Alive on Intake,FALSE,1
A610137,,CAT,BLACK,,Female,2018-02-23,5.0,2018-06-23,NORMAL,STRAY,OTC,,2018-07-01,"10600 BLK OAK ST, LOS ALAMITOS, CA 90720",LOS ALAMITOS,ADOPTION,SPCALA,Alive on Intake,FALSE,1
